id,text,source,attack_type
13,"Fast and accurate separation of multiple sources from their mixtures is a critical problem in signal processing, with applications ranging from speech enhancement to audio source separation. In this paper, we propose a novel method for multichannel source separation based on the joint diagonalization of spatial covariance matrices. The proposed method exploits the fact that the covariance matrices of the sources are jointly diagonalizable, which can be leveraged to efficiently estimate the mixing matrix and the sources. Specifically, we first estimate the spatial covariance matrices of the sources and then jointly diagonalize them using a subspace iteration algorithm. The resulting joint diagonalization matrix is used to estimate the mixing matrix and the sources, which are obtained",ai,flan_t5_evader
14,"This paper investigates the development of cooperativeness and competitiveness in children. The study aims to explore how these two traits are shaped by social and cultural factors and how they interact with each other. The research is based on a sample of 200 children aged between 7 to 12 years old from diverse socio-economic and cultural backgrounds. The data collection was conducted using standardized questionnaires and observational methods. The findings suggest that cooperativeness and competitiveness are influenced by a range of factors, including parenting styles, peer relationships, and cultural norms. Additionally, the study found that these traits are not mutually exclusive, as children can display both traits in different contexts.",ai,flan_t5_evader
15,"Our algorithm uses a new technique that allows us to exploit the input-sparsity of $A$ and to handle all Schatten norms simultaneously. More precisely, we develop a randomized algorithm that approximates the matrix $A$ using a small number of columns, which are carefully selected based on a new notion of effective sparsity. Then, we apply an iterative procedure that uses the selected columns to compute an approximate low-rank factorization of $A$ in the desired Schatten norm. The overall running time of our algorithm is near-linear in the number of non-zero entries of $A$ plus a polynomial dependence on $k$ and $1 / epsilon$. We also show that",ai,flan_t5_evader
16,"In this paper, we explore the most effective way for a mediator to provide information in a negotiation between two parties who have incomplete information about each other and dislike inequality. We focus on a game where both parties make ultimatums, and the mediator's information can affect the responder's interpretation of the bidder's offer. When the mediator's aim is to maximize the chances of reaching an agreement, the best approach is for the mediator to provide some information about the cost, allowing the buyer to confirm that it is low, but not allowing the buyer to confirm that it is high. However, if the mediator's goal is to maximize the bidder's expected revenue, the optimal approach is to provide information that encourages the bidder to",ai,flan_t5_evader
17,"This paper explores the holographic entropy cone in two-dimensional spacetimes with time dependence. The holographic entropy cone is a fundamental concept in the study of holography, which relates the entropy of a physical system to its geometry. In this study, we extend the entropy cone to include time-dependent systems, which are relevant for a wide range of physical phenomena, including black holes and quantum systems. We begin by developing a framework for computing holographic entanglement entropy in time-dependent systems, which involves solving the Einstein equations in the bulk of the spacetime. We then use this framework to study a specific class of time-dependent systems,",ai,flan_t5_evader
18,"This paper argues that the shift towards a public health approach to domestic violence raises significant concerns for individual autonomy and privacy. Medicalized models for addressing domestic violence may not be the most effective means of responding to the problem, and may set problematic precedents for future interventions into intimate relationships. The medicalization of social issues can also result in an over-reliance on diagnostic categories that may not be appropriate for the complexities of domestic violence. Furthermore, by conceptualizing domestic violence through a public health framework, we risk creating a new form of carceral control, where individuals deemed at risk of violence are subjected to surveillance and intervention that may not be warranted.",ai,flan_t5_evader
19,"Research on access to justice has moved through a series of thematic waves that began with focusing on equality of access to legal services and continued with addressing structural inequalities within the justice system, establishing informal justice processes to prevent disputes from occurring and escalating, focusing efficiency and competition to drive down the costs associated with the justice system and understanding and meeting the actual legal needs of communities. Access to justice has been described as “a cross-cutting right that must be understood and interpreted in line with other principles such as equal recognition before the law” and which “enables and enhances other rights such as the right to health as it guarantees judicial and administrative protection of that right”. As noted by Lima and Gomez, “access to justice guarantees that",human,flan_t5_evader
20,"Title VII’s national origin provision and 42 U.S. Code  1981’s protection for racial minorities are the two strongest legal bases for plaintiffs bringing a caste discrimination claim. I argue that casteism typifies the descent-based discrimination both statutes were enacted to prohibit. The test used in the Supreme Court’s recent Bostock v. Clayton County decision further clarifies the sweep of Title VII’s reach and bolsters the case for recognizing caste as a protected class. Notably, widespread criticism of the dearth of racial and gender diversity in the tech industry has led to CEOs pledging policy changes. Casteism, however, has been largely overlooked by these",human,flan_t5_evader
21,"Many theoretical and experimental results on the reach of the Large Hadron Collider are based on the mSUGRA-inspired scenario with universal soft supersymmetry breaking parameters at the apparent gauge coupling unification scale. We study signals for supersymmetric models in which the sparticle mass range is compressed compared to mSUGRA, using cuts like those employed by ATLAS for 2010 data. The acceptance and the cross-section times acceptance are found for several model lines that employ a compression parameter to smoothly interpolate between the mSUGRA case and the extreme case of degenerate gaugino masses at the weak scale. For models with moderate compression, the reach is not much worse, and can even be substantially better, than the",human,flan_t5_evader
22,"In conformal field theory (CFT) on simply connected domains of the Riemann sphere, the natural conformal symmetries under self-maps are extended, in a certain way, to local symmetries under general conformal maps, and this is at the basis of the powerful techniques of CFT. Conformal maps of simply connected domains naturally have the structure of an infinite-dimensional groupoid, which generalizes the finite-dimensional group of self-maps. We put a topological structure on the space of conformal maps on simply connected domains, which makes it into a topological groupoid. Further, we (almost) extend this to a local manifold structure",human,flan_t5_evader
23,"This work presents a new theoretical approach to AL, example quality, which defines optimal AL behaviour in terms of ELR. Once optimal AL behaviour is defined mathematically, reasoning about this abstraction provides insights into AL. In a theoretical context, the optimal selection is compared to existing AL methods, showing that heuristics can make sub-optimal selections. Algorithms are constructed to estimate example quality directly. A large-scale experimental study shows these algorithms to be competitive with standard AL methods.",human,flan_t5_evader
24,"Our extension is modular in the sense that it does not require the modification of the AC-completion procedure. Instead, we use a combination of techniques to reduce the problem of deciding formulas in the combination of theories to a sequence of problems in AC-completion and the Shostak theory X. We show that our extension is sound and complete and that it provides a decision procedure for the satisfiability problem in the considered theory. Finally, we present experimental results that demonstrate the practicality and efficiency of our approach.",ai,flan_t5_evader
25,"Is station accessibility split up along racial lines? If so, what remedies might exist under Title VI and/or the ADA to fix that?This Note employs an empirical analysis in order to answer the first question, relying on geospatial data paired with corresponding Census demographic data. The results of the linear and logistic regressions indicate that race is indeed correlated with accessibility levels. In Philadelphia, stations are less likely to be accessible when located in areas with higher concentrations of Black residents, and in New York City, they are less likely to be accessible when located in areas with higher concentrations of Black and, in particular, Black Latinx residents. The Federal Transit Administration ’s forthcoming revised circular offers an opportunity to correct this problem.",human,flan_t5_evader
26,"Medical experimentation of human subjects is often seen as either ethical or non-ethical, but could there be more nuanced distinctions? This essay explores questions around informed consent, such as whether it means different things depending on various factors, and whether a signature is enough to establish it. The importance of what human subjects are entitled to know before and during clinical trials is highlighted, especially in light of recent controversies surrounding fetal tissue research. The essay offers three contributions: a historical analysis of medical experiments conducted without informed consent, an exploration of how race or status can influence unethical decision-making, and a discussion of how law and ethics can bring about change.",ai,flan_t5_evader
27,"We use a large-scale dataset of thousands of field experiments conducted on Upworthy.com, an online media platform, to investigate the cognitive, motivation, affective, and grammatical factors implementable in messages to motivate people to engage with online content. We map from textual cues measured with Natural Language Processing tools to constructs implied to be relevant by a broad range of prior research literatures. We validate the constructs with human judgment and then test which constructs causally impact click-through to articles when implemented in headlines. Our findings suggest that the use of textual cues identified in previous research and industry advice does impact the effectiveness of headlines overall, but the prior research and industry advice does not always provide useful guidance as to the direction of the effects",human,flan_t5_evader
28,"Communication is a barrier between the deaf-mute community and the rest of the society. Sign Language is used for communication among such people who cannot speak and listen. The automation of sign language recognition has gained researchers attention in the last few years. Many complex and costly hardware systems have already been developed to assist the purpose. However, we propose to use deep learning approach for automated sign language recognition. We devised a novel 2-level ResNet50 based Deep Neural Network Architecture to classify fingerspelled words. The dataset used is the standard American Sign Language Hand gesture dataset by [1]. The dataset was first augmented using various augmentation techniques. In our 2-level ResNet50 based approach, the Level 1 model classifies the input image into one of the",human,flan_t5_evader
29,"We use the AdS / CFT correspondence to compute the AC conductivities for a (2 + 1)-dimensional system of massless fundamental fermions coupled to (3 + 1)-dimensional Super Yang Mills theory at strong coupling. We consider the system at finite charge density, with a constant electric field along the defect and an orthogonal magnetic field. The holographic model we employ is the well studied D3/probe-D5-brane system. There are two competing phases in this model: a phase with broken chiral symmetry favored when the magnetic field dominates over the charge density and the electric field and a chirally symmetric phase in the opposite regime. The presence of the electric field induces Ohm and Hall currents",human,flan_t5_evader
30,"Visualizing and navigating through large astronomy images from a remote location with current astronomy display tools can be a frustrating experience in terms of speed and ergonomics, especially on mobile devices. In this paper, we present a high performance, versatile and robust client-server system for remote visualization and analysis of extremely large scientific images. Applications of this work include survey image quality control, interactive data query and exploration, citizen science, as well as public outreach. The proposed software is entirely open source and is designed to be generic and applicable to a variety of datasets. It provides access to floating point data at terabyte scales, with the ability to precisely adjust image settings in real-time. The proposed clients are light-weight, platform-independent web applications",human,flan_t5_evader
31,"To truly decolonise the curriculum and create a more inclusive teaching and learning environment in HEIs, it is necessary to critically examine the ways in which knowledge is produced and transmitted in the classroom. This requires a deep and sustained commitment to decolonising our pedagogical approach, moving beyond simply adding diverse voices to our reading lists and course materials. One way to approach this is through the use of decolonial pedagogies, which centre the perspectives and experiences of historically marginalised groups and challenge dominant Western epistemologies. These pedagogies involve a rethinking of traditional power structures in the classroom, with an emphasis on co-creating knowledge with students and privileging diverse perspectives and ways of knowing.",ai,flan_t5_evader
32,"This paper explores John Austin's analytical jurisprudence, specifically his version of legal positivism known as empirical-rationalist legal positivism. Through an examination of Austin's key concepts, such as the separation of law and morality, the command theory of law, and the importance of legal language, the paper argues that Austin's approach aimed to establish law as a scientific discipline capable of objective analysis. The paper also explores criticisms of Austin's work, including his failure to account for the complexity of legal systems and the limitations of his emphasis on the sovereign's authority.",ai,flan_t5_evader
33,"Firstly, we aim to develop an AI-powered system that can identify learning gaps and adapt to the unique learning needs of individual children. Secondly, we intend to create a repository of open-access learning resources, such as online tutorials, videos, and simulations, that are tailored to the needs of diverse learners. Lastly, we aim to foster a community of practice that brings together experts in AI and education, children, and educators to collaborate and co-create innovative solutions for a child-centred approach to AIR. Through this work, we hope to democratize access to high-quality education and enable children from diverse backgrounds to participate fully in the rapidly evolving field of AI and robotics.",ai,flan_t5_evader
34,"Air pollution, particularly CO2 and PM2.5 emissions, poses a significant challenge for many countries globally. Choosing an eco-friendly mode of transportation is an effective strategy for individuals to minimize air pollution in their daily lives. This paper presents a novel approach to measure the impact of eco-friendly transport mode selection on reducing air pollution, using map search logs. Using combinatorial optimization, we formulate the transport mode selection problem, imposing constraints on total CO2 emissions as an example of air pollution, as well as average travel time. Our optimization results demonstrate that the total CO2 emissions can be decreased by 9.23%, while average travel time can also be decreased by 9.96%. Furthermore, our research proposal was awarded first prize in Regular Machine Learning Competition Track Task 2 at",ai,flan_t5_evader
35,"The Restricted Isometry Property (RIP) is an important characteristic of matrices when it comes to recovering sparse data. Essentially, a matrix of size m x n satisfies RIP of order k in the l_p norm if the p-norm of the product of the matrix and a vector x is approximately equal to the norm of x, given that x has at most k non-zero entries. Researchers have already investigated the minimum number of rows needed for a matrix to satisfy the RIP, and have established tight bounds. However, in some models used in signal processing, the support of x must belong to a particular family of supports.",ai,flan_t5_evader
36,"What is law? This foundational question in legal philosophy has been understood in a variety of ways. Most recently, it has begun to be interpreted as a question about the nature of law, answerable via conceptual analysis. I will argue here that that approach is a mistake. It leads to an impasse in our debates. We cannot resolve this question because the method adopted is unresponsive to experience. Intuitions are made primary, and participants in the debate are unable to sway one another via counterexamples, because any putative counterexample can simply be reclassified, such that it does not present an objection to the view. In light of these methodological problems, I argue in favour of what has come to",human,flan_t5_evader
37,"This paper focuses on the impact of link failures and channel noise on distributed consensus algorithms in sensor networks. The paper provides an in-depth analysis of how these factors affect the performance of consensus algorithms and how they can be mitigated. The research is based on simulations and experiments conducted in real-world sensor networks, and the results show that link failures and channel noise can significantly impact the convergence time and accuracy of consensus algorithms. The paper also presents several solutions to overcome these challenges, including the use of redundancy, error correction, and network coding. The results of the study provide insights into the design and implementation of robust consensus algorithms in sensor networks, and have important implications for a wide range of applications, including smart grid management, environmental monitoring, and industrial control systems",ai,flan_t5_evader
38,"This research explores using penalized maximum log-likelihood estimation for exponential family distributions that have a natural parameter within a reproducing kernel Hilbert space. Our approach relies on a new method called doubly dual embedding, which eliminates the need to compute the partition function. This method also enables the creation of a flexible sampling strategy that reduces the cost of Monte-Carlo sampling during the inference stage. The resulting estimator can be extended to kernel conditional exponential families. We establish a link between kernel exponential family estimation and MMD-GANs, which offers a fresh perspective for understanding GANs.",ai,flan_t5_evader
39,"Although there is a rich legal literature on whether remorse should play a role in the criminal justice system, there is little discussion of how remorse can be evaluated in the legal context. There is ample evidence that perceptions of remorse play a powerful role in criminal cases. However, the most basic question about the evaluation of remorse has received little attention: is remorse something that can be accurately evaluated in a courtroom? This article argues that evaluation of remorse requires a deep assessment of character, or of the condition of the soul, and that the legal system may not be capable of such evaluation. At the same time, the article acknowledges that remorse is so",human,flan_t5_evader
40,"To address this challenge, recent research has focused on incorporating additional features and objectives into Deep Reinforcement Learning navigation systems to enhance their long-term planning capabilities. These approaches have shown promising results in improving navigation performance in dynamic environments while maintaining safety and efficiency. However, further investigation is needed to fully explore the potential of these methods and their practical applicability in real-world scenarios. The development of such methods can pave the way for the widespread adoption of Deep Reinforcement Learning in navigation systems and improve the safety and efficiency of autonomous agents in highly dynamic environments.",ai,flan_t5_evader
41,"We analyze the behavior of linear density perturbations in this model and calculate the matter power spectrum and the CMB anisotropy power spectrum, which are sensitive to the transition redshift $z_C$. We find that the presence of a sharp transition in the dark sector affects significantly the evolution of cosmological perturbations, leading to characteristic features in both spectra. In particular, we show that the matter power spectrum exhibits an intriguing oscillatory behavior on small scales due to the effect of the transition, which can be probed by future galaxy surveys. We also discuss the impact of the transition on the integrated Sachs-Wolfe effect and the weak lensing convergence power spectra.",ai,flan_t5_evader
42,"To address this limitation, we propose a target-side-attentive residual recurrent network for decoding, where attention over previous words contributes directly to the prediction of the next word. The residual learning facilitates the flow of information from the distant past and is able to emphasize any of the previously translated words, hence it gains access to a wider context. The proposed model outperforms a neural MT baseline as well as a memory and self-attention network on three language pairs. Attention learned by the decoder confirms that it emphasizes a wider context, and that it captures syntactic-like structures.",human,flan_t5_evader
43,"In the presence of an electric dipole coupling of t-tbar to a photon, and an analogous ""weak"" dipole coupling to the Z, CP violation in the process e+e---> t tbar results in modified polarization of the top and anti-top. This polarization can be analyzed by studying the angular distributions of decay charged leptons when the top or anti-top decays leptonically. Analytic expressions are presented for these distributions when either t or tbar decays leptonically, including O(alpha_s) QCD corrections in the soft-gluon approximation. The angular distributions are insensitive",human,flan_t5_evader
44,"The RobotriX dataset offers a range of advantages over existing robotics datasets, such as the ability to generate a large number of labeled examples in a controlled environment with ground truth annotations. Additionally, the dataset offers a level of photorealism that is unprecedented in indoor robotics datasets, allowing for the development and testing of vision algorithms that are robust to lighting, texture, and other realistic visual effects. Moreover, the use of a virtual reality headset enables human operators to experience the environment as if they were physically present, making it easier to control the robots and interact with the scene. RobotriX dataset provides a valuable resource for researchers interested in developing and evaluating deep learning techniques for a wide range of robotic",ai,flan_t5_evader
45,"Peer-to-peer (P2P) Data-sharing systems now generate a significant portion of internet traffic. P2P systems have emerged as a popular way to share huge volumes of data. Requirements for widely distributed information systems supporting virtual organizations have given rise to a new category of P2P systems called schema- based. In such systems each peer is a database management system in itself, ex-posing its own schema. A fundamental problem that confronts peer-to-peer applications is the efficient location of the node that stores a desired data item. In such settings, the main objective is the efficient search across peer databases by processing each incoming query without overly consuming bandwidth. The usability of these systems depends",human,flan_t5_evader
46,"Online social media have significantly altered the manner in which individuals interact with each other and disseminate information, with microblogs becoming particularly important for key activities such as public relations, marketing, and politics. To better comprehend how memes spread within these channels, we have developed an adaptable framework that analyzes, maps, models, and classifies vast microblogging datasets in real-time. This framework powers a web service capable of monitoring political memes on Twitter and identifying instances of astroturfing, smear campaigns, and false information during US elections. Our analysis revealed several instances of abusive behavior online.",ai,flan_t5_evader
47,"Generating a coherent paragraph requires understanding the different relationships between sentences, such as tense and coreference. These relationships are called ""flow."" To create better flow, we looked at two ways to connect sentences within a paragraph: one is a structure created by humans (e.g., a discourse tree), and the other is a relation learned from the sentences themselves. We created two models that include each form of relation in document-level language models: one is supervised and predicts discourse relations, while the other is unsupervised and uses a recurrent neural network. Our models perform better than baselines in generating partially conditioned paragraphs. The codes and data are available to the public.",ai,flan_t5_evader
48,"English is very essential in socialization and practical aspects. It has been the medium of instruction from elementary to graduate studies. However, students are observed feeling anxious when they are required to use this language in classroom speaking activities at tertiary level. The main focus of this study is to determine the level, cause and factors of this anxiety. This employed the quantitative descriptive and correlational methods of research from 45 BS Social Work students enrolled in Speech Communication class using a questionnaire patterned from the Second Language Speaking Anxiety Scale (SLSAS) constructed by Lindy Woodrow and that of Foreign Language Classroom Anxiety Scale (FLCAS) devised by Horwitz, Horwitz, & Cope. Data were analyzed using statistical tools like frequency,",human,flan_t5_evader
49,"This paper presents a novel approach to designing efficient low-redundancy codes for correcting multiple deletions in a sequence. The proposed method is based on the concept of sparse matrices, where the deletion errors are modeled as a sparse vector. Using this model, a codebook is designed that can efficiently correct multiple deletions with low redundancy. The proposed codebook is compared with existing state-of-the-art methods, and simulation results show that it outperforms these methods in terms of correction efficiency, redundancy, and complexity. Furthermore, the proposed method is shown to be suitable for large sequences with varying deletion rates. The proposed approach has potential applications in areas such as bioinformatic",ai,flan_t5_evader
