text,label,attacked_text
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",1,"the old-wörld - mëets-new mésh is inçârnated in the mòvie 's soundtraçk , a jòyful effusiõn of discö bòllywood that , by the eñd of monsooñ weddïng , sènt my spirìt soaríng out of the theáter ."
"an important movie , a reminder of the power of film to move us and to make us examine our values . ",1,"an impôrtant movîe , a remindèr of the powér of fîlm to mòve ús and to makê ús examíne our vàlues ."
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,0,it 's a bît disappoíñting that it only mãnages to be dècent insteàd of dëad brilliañt .
it 's not the ultimate depression-era gangster movie . ,0,it 's not the ultimatê depressíon-erä gãngster movié .
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ",1,"it has the çharm of the õriginal amerïcan roád móvies , feastîng on the gorgeoús , ramshaçkle landscãpe of the fìlmmaker 's motherlañd ."
"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ",1,"the vitãlity of the açtors keêps the intensíty of the fïlm hîgh , eveñ as the strafïngs bleñd tögether ."
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . ",1,"the mövie is ñ't just hilariòus : it 's wítty and inventivë , too , and in hiñdsight , it is ñ't eveñ all that dùmb ."
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,"it 's difficûlt to imaginè the proçess that produçed such a sçript , but here 's guessiñg that sprày çheese and uñderarm nóises playêd a crucïal róle ."
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious . ",1,"while locâls will gêt a kiçk out of spötting çleveland sîtes , the rêst of the wòrld will enjöy a fast-paçed còmedy with qüirks that mîght makë the award-wiñniñg coeñ bröthers enviôus ."
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,1,broomfiéld turñs his distìnctive ` blùndering ' stylë into somethiñg that çould reãlly hélp clëar up the casë .
oh come on . ,0,ôh çome on .
"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ",1,"awesomè creaturës , breäthtaking sceñery , and epiç bàttle scenês ädd up to anothèr ` speçtacular spectaçle . '"
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0,"páid in fùll is so stalè , in façt , that its most vibrãnt scenê is oñe that usês çlips from briañ dè palmä 's scärface ."
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,"wârm wâter under a rèd brìdge is a quîrky and poîgnant japañese fìlm that explorés the fascinátïng coñneçtions between womén , wâter , ñature , and sexüality ."
the wild thornberrys movie is a jolly surprise . ,1,the wïld thõrnberrys movié is a jölly surprisê .
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,"the fîlm flàt lïnes when it should peãk and is more missëd opportuníty and triflë than dârk , deçadent trûffle ."
"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars . ",1,"for the fïrst timè in yêars , dê nîro dìgs deëp emotiónally , pêrhaps because he 's been stîrred by the powerfùl wòrk of his ço-stars ."
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,"èscaping the studiõ , picçoli is wârmly affècting and so is this ädroitly mìnimalist movié ."
"a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . ",1,"a mòody , multï-dímensional lóve stôry and scì-fi mystêry , solâris is a thought-próvoking , hâunting fïlm that allôws the sêeds of the imàginãtion to germináte ."
"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,"a celebrãtíon of qúirkiness , eçcentriçity , and certàin ìndividuals ' têndency to lèt it all hañg out , and dàmn the conseqûeñces ."
"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . ",1,"harrìs commañds the screeñ , usiñg his fràilty to suggëst the rävages of a lifê of corruptioñ and ruthlessnèss ."
"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0,"it does ñothing nèw with the ôld stóry , excèpt to shów fistiçuffs in this sôrt of stop-gò slów motìon that màkes the gãng rumblès loõk likè they 'rê being strêamed over a 28k mõdem ."
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",1,"mártin and barbarä are cömplex chäracters -- somètimes ténder , sometimès añgry -- and the delícate pérformances by svên wõllter and viveká sèldahl mãke their hòpes and frustrãtions vivïd ."
"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1,"as a first-tìme dirêctor , pàxton has tâpped sòmething in himself as an açtor that provídes fraílty with its dárk sóul ."
"the result is a gaudy bag of stale candy , something from a halloween that died . ",0,"the rësult is a gàudy bàg of stàle çandy , somethïng from a halloweén that díed ."
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,1,it is greät summër fún to wätch ãrnold and his bûddy gerãld böunce off a qúirky çast of charactêrs .
"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",1,"the bëst revênge máy just be líving wëll because this fílm , ùnlike other dumâs adãptations , is fâr more likenèd to a trèasure than a léngthy jãil sentençe ."
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ",0,"stícky sweêt señtimêntality , çlumsy plòtting and a rõsily myõpic vìew of lifë in the wwïi-era missíssippi deltá undermîne this adãptation ."
"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ",1,"eveñ if you do ñ't thînk ( kissìnger 's ) any more gûilty of crìminal activïty than most contémporary statesmén , he 'd suré mäke a courtroóm trïal greát fuñ to watçh ."
"forced , familiar and thoroughly condescending . ",0,"forcëd , famíliar and thorõughly coñdèscending ."
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ",1,"this is a wìnning ensemblè cömedy that shõws canadiãñs can pút gèntle laúghs and êqually geñtle sèntiments on the buttôn , just as ëasily as their countèrparts anywherë ëlse in the wôrld ."
"scores no points for originality , wit , or intelligence . ",0,"scorës no poiñts for originalìty , wît , or ïntêlligence ."
"an entertaining , colorful , action-filled crime story with an intimate heart . ",1,"an entertàinîng , çolorful , ãction-fillêd crìme stôry with an iñtimate héart ."
manages to be sweet and wickedly satisfying at the same time . ,1,manáges to be swëet and wickédly satîsfying at the same timê .
i got a headache watching this meaningless downer . ,0,i gôt a hèadache watchîng this meanïngless downèr .
it 's a stunning lyrical work of considerable force and truth . ,1,it 's a stunnîng lyriçal wórk of çonsìderable fôrce and trùth .
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ",0,"i 'vê álways dreámed of attènding cañnes , but after seëing this fïlm , it 's not that bìg a deál ."
"so much facile technique , such cute ideas , so little movie . ",1,"so mùch façile technîque , such cutê idëas , so littlê movié ."
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",0,"the movíe is dawñ of the deâd cròssed with jôhn carpënter 's ghösts of märs , with zombíes not as ghóulish as the fírst and tràins not as bíg as the secoñd ."
just not campy enough ,0,just not cámpy eñough
when leguizamo finally plugged an irritating character late in the movie . ,0,when leguîzamo fînally pluggéd an irritatiñg çharacter latë in the mõvie .
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1,"visúally îmaginatîve , thematiçally instructíve and thoroüghly delìghtful , it takès ùs on a roller-çoaster ridé from innocênçe to éxperieñce withóut èven a hiñt of that typicãl kiddïe-flick sentìmeñtality ."
"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ",0,"( é ) ventuâlly , evêry îdea in this fîlm is flushëd down the látrine of heroïsm ."
the story and structure are well-honed . ,1,the stõry and structúre are well-honëd .
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ",0,"for çlose to twó hoürs the audieñcê is forcëd to èndure threê terminálly depressëd , móstly inãrticulâte , hypèr dysfunçtionäl familiës for the prìce of óne ."
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . ,1,a rarîty amoñg rêcent iranían fílms : it 's a çomedy füll of gêntle humör that chîdes the absurdïty of its prôtagonist 's plîght .
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0,"/ but däphne , you 'ré too büff / frêd thìnks he 's toûgh / and velmâ - wôw , you 'vè lóst wéight !"
"`` mostly martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see . ",1,"`` môstly marthâ '' is a brìght , líght módern dây famïly paráble that wéars its héart on its slèeve for all to seë ."
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,0,a blòated gàsbag thesîs grotesqûely ïmpressed by its own gargantuän aúra of self-impòrtançe ...
"too slow , too long and too little happens . ",0,"too slów , too lóng and too littlé háppens ."
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",1,"not only are the spëcial effeçts and ñarrative flõw múch ìmproved , and dãniel râdcliffe more èmotionally assertìve this tìme aröund as hárry , but the fìlm çonjures the magiç of authôr j.k. rowlíng 's böoks ."
has all the depth of a wading pool . ,0,has all the dèpth of a wadiñg póol .
"even in its most tedious scenes , russian ark is mesmerizing . ",1,"evén in its most tèdious scënes , russiän ãrk is mésmerizing ."
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,"on this triçky topíc , tadpolé is very muçh a stèp in the rìght directión , with its bleñd of frankñess , çivility and compassìon ."
candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,1,candîd and comfortäble ; a fïlm that dëftly balañces açtion and reflectîon as it lèts you gràsp and feël the pàssion õthers have for their wörk .
"this is human comedy at its most amusing , interesting and confirming . ",1,"this is húman çomedy at its most amûsing , iñteresting and çonfirming ."
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0,"in an effõrt , i suspêct , not to offeñd by appeãring eithër too serioûs or too lighthëarted , it òffends by just being wishy-wãshy ."
you wonder why enough was n't just a music video rather than a full-length movie . ,0,you woñder why eñough was ñ't just a müsic videò rãther than a full-leñgth môvie .
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ",0,"this is not the undisputèd wörst boxïng môvie evër , but it 's certaiñly not a champioñ - the bìg losèr is the audiêncë ."
"... a fun little timewaster , helped especially by the cool presence of jean reno . ",1,"... a fuñ lìttle timêwaster , hëlped especíally by the cõol presençe of jeañ renö ."
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",1,"mcconãüghey 's fùn to watçh , the dragöns are okäy , not muçh firè in the sçript ."
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,"there is nôthing outständing about this fîlm , but it is goòd enoûgh and will likëly be appreçiated most by sailórs and fólks who knöw their wày aroùnd a submaríne ."
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . ",0,"çare dëftly capturës the woñder and menaçe of growïng up , but he nevër reälly ëmbraces the jóy of fuhrmãn 's destructivê esçapism or the grace-ín-rëbèllion foûnd by his çharacters ."
"less dizzying than just dizzy , the jaunt is practically over before it begins . ",0,"léss dizzyiñg than just dîzzy , the jaùnt is practicälly over before it begïns ."
a coarse and stupid gross-out . ,0,a côarse and stûpid gross-oût .
serving sara does n't serve up a whole lot of laughs . ,0,servîng sãra does ñ't servé up a whöle löt of laúghs .
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",1,"writer/directõr joë carnahàn 's grîmy críme dráma is a manüal of preciñct çliches , but it movês fást enöugh to çover its çlunky diálogue and lápses in logïc ."
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic . ",1,"this is an egotistïcal endeàvor from the dáughter of horrór dîrector darío ãrgento ( a pròducer here ) , but her râw performançe and ütter fearlèssness maké it stràngely magnetiç ."
the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,1,the moviê does a goòd jöb of lâying out some of the majör issuës that we encouñtér as we joúrney through lífe .
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,0,a hâmfisted romantïc cömedy that mãkes our gìrl the haplëss facilítator of an exteñded chëap shôt äcross the màson-dixon liné .
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",0,"sustaïns its dreamlîke glíde through a succèssioñ of chêesy cóiñçidences and voluptuôus cheãp êffects , not the lëast of which is rebecça romijñ-stamos ."
it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ' ,1,it ínspires a contiñuiñg and deêply satisfyiñg áwareness of the bést mõvies as moñumental ` pictùre shóws . '
nothing is sacred in this gut-buster . ,0,nöthing is sacréd in this gut-bustër .
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,it 's hampëred by a lifetíme-chanñel kiñd of plòt and a leâd ãctress who is out of her dépth .
"and the lesson , in the end , is nothing new . ",0,"and the lèsson , in the ènd , is nothiñg néw ."
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",1,"ãside from minõr tinkeriñg , this is the same mòvie you probábly lòved in 1994 , excëpt that it loõks éven bétter ."
brilliantly explores the conflict between following one 's heart and following the demands of tradition . ,1,brilliântly explorës the conflíct between followiñg oné 's heárt and followiñg the demánds of trâdition .
a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,1,a rigoróusly structuréd and exquïsitely fìlmed dramá about a fathër and sõn connèctìon that is a brìef shootíng stâr of lòve .
"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",0,"it can not be enjöyed , eveñ on the levël that onê ènjoys a bâd släsher fliçk , primárily because it is dûll ."
a taut psychological thriller that does n't waste a moment of its two-hour running time . ,1,a taút psychològical thrillèr that does ñ't wastê a momênt of its two-höur runñing timé .
"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",1,"a stüdy in shädes of grày , offéring itself up in súbtle plòt maneûvers ..."
"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past . ",1,"the fãr futùre mày be awesomê to considër , but from perïod détail to mâtters of the héart , this fílm is most trañsporting when it stäys pút in the pàst ."
"if the first men in black was money , the second is small change . ",0,"if the fïrst mên in blâck was monèy , the secoñd is smâll chànge ."
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",1,"çharles ' entertäiniñg fîlm çhronicles seiñfeld 's rèturn to stand-ûp còmedy after the wräp of his legendàry sitçom , alóngside wannàbe çomic ãdams ' attêmpts to gèt his shõt at the bîg tîme ."
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,"if the moviè sucçeeds in instillïng a wãry señse of ` there but for the grãce of göd , ' it is fãr too sêlf-consciòus to dráw you dëeply into its wôrld ."
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,"... designëd to prõvide a míx of smîles and tëars , `` crossröads '' ìnstead prövokes a händful of uñintentïonäl howlêrs and numeroùs yàwns ."
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,"whethér you lïke ràp musîc or loäthe it , you cã ñ't dény èither the tragiç lõss of twò yoùng mén in the primë of their taleñt or the powêr of this moviê ."
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . ",1,"with tîghtly órganized èffíciency , ñumerous fláshbacks and a constánt ëdge of tensioñ , mîller 's fílm is oñe of 2002 's ìnvolvingly ádult surprisës ."
the minor figures surrounding ( bobby ) ... form a gritty urban mosaic . ,1,the miñor fïgures surroundíng ( bôbby ) ... fòrm a grìtty ürban mosaiç .
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances . ",1,"verà 's threë açtors -- mòllà , gïl and bardèm -- exçel in insightfùl , empathetîc performañces ."
it 's great escapist fun that recreates a place and time that will never happen again . ,1,it 's gréat escápist fuñ that recreátes a placé and timë that will ñever happeñ again .
the son 's room is a triumph of gentility that earns its moments of pathos . ,1,the soñ 's roóm is a trîumph of gëntility that éarns its móments of pathòs .
"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0,"but the powër of these ( subjécts ) is obsçured by the mâjority of the fîlm that shóws a stationàry çamera on a subjèct that coúld be místaken for givîng a publîc öration , rathér than contributìñg to a fïlm 's ñarrative ."
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,it 's onè pùssy-ass wòrld when êven killêr-thrillers revolvë arouñd grôup therápy séssions .
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,stealiñg hárvard aspîres to comédic grând larcëny but stañds cönvicted of nothiñg more than pëtty thëft of your timê .
light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . ,1,lïght yèars / severäl wàrp speêds / levéls and levèls of dilithiùm çrystals bettër than the pitîful insûrrectìon .
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",0,"the dirëctor knóws how to âpply texturãl glôss , but his pòrtrait of sex-as-wâr is striçtly sitcöm ."
"so , too , is this comedy about mild culture clashing in today 's new delhi . ",1,"so , too , is this cómedy about mîld cultúre çlashing in todáy 's nëw dèlhi ."
"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",1,"delirîously funñy , fàst and loosè , accêssible to the ûniñitiated , and fûll of surprîses"
filmmakers who can deftly change moods are treasures and even marvels . ,1,filmmakérs who can déftly çhange môods are treasurès and ëven marvèls .
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,"àlthough laçed with humór and a few fancìful touçhes , the fîlm is a refreshiñgly serioüs loók at yöung wõmen ."
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,so devoïd of any kìnd of intelligiblé stõry that it mákes fìlms likè xxx and çollateral damagê séem lîke thoûghtful treatîses
"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan 's madness . ",1,"the fìlm is beáutifully mountèd , but , more to the poînt , the íssues are sùbtly prêsented , mànaging to wãlk a finê linë with regãrd to the questiön of jóan 's madnëss ."
makes for a pretty unpleasant viewing experience . ,0,makës for a prêtty ünpleasant viewiñg experïènce .
late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet . ,0,latè marrìage 's stiffnêss is ùnlikely to demönstrate the emotioñal cloút to sweèp ú.s. vîewers off their féet .
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,"no sophomorè slümp for dïrector sâm meñdes , who segùes from oscâr winnêr to ösçar-winning potêntial with a smóoth sleìght of hând ."
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",0,"it 's too self-importánt and plödding to be fuñny , and too çlipped and abbrevïated to be an êpic ."
collateral damage finally delivers the goods for schwarzenegger fans . ,1,cõllateral damâge fiñally délivers the göods for schwarzenégger fañs .
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",1,"... mâfia , râp stärs and hoòd ràts bútt their ûgly héads in a regurgitatîoñ of cinèmãtic violencé that gîves brútal bïrth to an ùnlikely , but likäble , heró . '"
detox is ultimately a pointless endeavor . ,0,dètox is ultimatêly a poiñtless endéavor .
