question,text,label,attacked_text
Who invented the first nuclear reactor?,"Notable faculty in physics have included the speed of light calculator A. A. Michelson, elementary charge calculator Robert A. Millikan, discoverer of the Compton Effect Arthur H. Compton, the creator of the first nuclear reactor Enrico Fermi, ""the father of the hydrogen bomb"" Edward Teller, ""one of the most brilliant and productive experimental physicists of the twentieth century",0,"Notablе facultу in рhysics have іncluded the spéed of lïght calculаtor А. А. Мichelson, elemeñtary chârge calculatоr Robërt Â. Millikãn, dìscoverer of the Çompton Effèct Аrthur Н. Çompton, the crеator of the fïrst nucleär reàctor Enrіco Fermі, ""thé fathеr of the hydrоgen bоmb"" Èdward Tellêr, ""оne of the most brillіant and productivе experimeñtal physiçists of the twentiеth çentury"
What objects in organisms absorb singlet oxygen to prevent harm?,"In nature, singlet oxygen is commonly formed from water during photosynthesis, using the energy of sunlight.",1,"In näture, sînglet öxygen is commoñly fоrmed from watër during photòsynthesis, usіng the enêrgy of sûnlight."
Which NASA faction came around first to support the LOR?,"Seamans' establishment of an ad-hoc committee headed by his special technical assistant Nicholas E. Golovin in July 1961, to recommend a launch vehicle to be used in the Apollo program, represented a turning point in NASA's mission mode decision.",1,"Sеamans' estäblishment of an ad-hoс committeê hеaded by his sрecial technicаl âssistant Nіcholas Е. Golovіn in Júly 1961, to recómmend a launсh vehіcle to be usеd in the Apolló prôgram, rëpresented a turñing poînt in NАSA's mіssion modе decisіon."
Who was the final Prime Minister of East Germany?,"The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière.",0,"The làst Prïme Mïnister of the (Èast) Gеrman Democratiç Republiç, Lothàr dé Mâizière, is alsò a descëndant of a Hugúenot famïly, as is the Gërman Fеderal Mіnister of the Interіor, Thomàs dè Mаizière."
Approximately how many items comprise the jewelry collection of the V&A?,"Other items in the collection include diamond dress ornaments made for Catherine the Great, bracelet clasps once belonging to Marie Antoinette, and the Beauharnais emerald necklace presented by Napoleon to his adopted daughter Hortense de Beauharnais in 1806.",1,"Other itéms in the colléctioñ iñclude dіamond drëss ornamênts mäde for Catheriñe the Greät, braсelet сlasps once bеlonging to Marië Ántoinëtte, and the Beaüharnäis emêrald necklacë presènted by Napоleon to his adópted dаughter Hоrtense dе Beaûhàrnais in 1806."
What is petrology?,"In typical geological investigations, geologists use primary information related to petrology (the study of rocks), stratigraphy (the study of sedimentary layers), and structural geology (the study of positions of rock units and their deformation).",0,"In tyрical geologіcal investigátiôns, geolоgists usë рrimary informatïoñ rélated to petrõlogy (thé studу of ròcks), stratіgraphy (thë stüdy of sedimentarу layérs), and struсtural geоlogy (thе stüdy of posіtions of roсk unіts and their deformatіon)."
When did Tesla become friends with Viereck?,"In middle age, Tesla became a close friend of Mark Twain; they spent a lot of time together in his lab and elsewhere.",1,"In míddle agе, Tеsla becamе a çlose frіend of Mаrk Twaiñ; they sрent a lоt of timе togethеr in his láb and elsewherе."
A function problem is an example of what?,Notable examples include the traveling salesman problem and the integer factorization problem.,1,Nötable еxamples inclüde the traveliñg salësman problеm and the integеr factоrizatіon problëm.
When did a plague-ridden ship land in Norway?,"The plague was somewhat less common in parts of Europe that had smaller trade relations with their neighbours, including the Kingdom of Poland, the majority of the Basque Country, isolated parts of Belgium and the Netherlands, and isolated alpine villages throughout the continent.",1,"The рlague was somеwhat lеss çommon in pаrts of Europе that had smаller trаde relatіons with their neighbóurs, inçluding the Kingdòm of Polànd, the majоrity of the Bãsque Cоuntry, isôlated párts of Belgíum and the Netherlañds, and іsolated alpîne villagеs thròughout the contínênt."
What project structures assist the owner in integration?,"In general, each of these project structures allows the owner to integrate the services of architects, interior designers, engineers and constructors throughout design and construction.",1,"In gêneral, each of these projеct structurеs âllows the owñer to integrаte the servïces of architeçts, іnterior designërs, eñgineers and cоnstructors throughõut desіgn and cоnstruction."
What time framd does the Seven Years War cover?,"Seven Years"" refers to events in Europe, from the official declaration of war in 1756 to the signing of the peace treaty in 1763.",0,"Sеven Yeаrs"" rеfers to evènts in Europë, from the officiál declаration of wаr in 1756 to the sigñing of the рeace tréaty in 1763."
What did Tesla first receive after starting his company?,"The company installed electrical arc light based illumination systems designed by Tesla and also had designs for dynamo electric machine commutators, the first patents issued to Tesla in the US.",0,"The compаny ìnstalled electrіcal arс líght bаsed illumïnâtion systéms dеsigned by Tеsla and alsò had desіgns for dynаmo electriç mаchine сommutators, the fîrst pаtents issuеd to Teslà in the US."
What are the secondary sources of primary law?,Secondary sources include regulations and directives which are based on the Treaties.,0,Seçondary sourcеs іnclude regulàtions and dіrectives which are bàsed on the Treäties.
Stretched rocks that pinch into lenses are known by what word?,Rocks at the depth to be ductilely stretched are often also metamorphosed.,1,Rоcks at the dépth to be ductilély strеtched are oftеn alsо mеtamorphosed.
When was the UMC formed?,"With the formation of The United Methodist Church in 1968, theologian Albert C. Outler led the team which systematized denominational doctrine.",0,"With the fôrmation of The Únited Мethodist Churсh in 1968, theolоgian Albêrt Ç. Öutler lеd the teãm which systematizеd denominаtiоnal doctrіne."
Which system comes after an organism's physical barriers?,"This improved response is then retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered.",1,"This improvëd responsè is then retaiñed after the pаthogen has been еliminated, in the fòrm of an immunolõgìcal mèmory, and аllows the ãdaptive immuñe systêm to mоunt fastеr and strongër attãcks each timе this рathogen is ençounteréd."
Which British sculptor whose work include the Queen Victoria memorial in front of Buckingham Palace is included in the V&A collection?,"Sculptors both British and Europeans who were based in Britain and whose work is in the collection include Nicholas Stone, Caius Gabriel Cibber, Grinling Gibbons, John Michael Rysbrack, Louis-François Roubiliac, Peter Scheemakers, Sir Henry Cheere, Agostino Carlini, Thomas Banks, Joseph Nollekens, Joseph Wilton, John Flaxman, Sir Francis Chantrey, John Gibson, Edward Hodges Baily, Lord Leighton, Alfred Stevens, Thomas Brock, Alfred Gilbert, George Frampton, and Eric Gill.",0,"Sculptоrs both Britіsh and Euroрeans who were bаsed in Brìtain and whоse wôrk is in the çollêction іnclude Nіcholas Stоne, Cаius Gabriél Cіbber, Griñling Gіbbons, Jоhn Miсhael Rysbráck, Lôuis-Frañçois Roúbiliac, Petеr Scheémakers, Sîr Heñry Cheеre, Аgostino Carlіni, Thömas Bаnks, Josèph Nollеkens, Jöseph Wiltön, Jоhn Flaxmän, Sîr Franсis Chantrеy, Johñ Gibsоn, Ëdward Нodges Bailу, Lórd Leightoñ, Alfrêd Stëvens, Thоmas Broçk, Alfrèd Gіlbert, Geórge Framptоn, and Erіc Gіll."
How many times had Thomas Davis torn his ACL in his career?,"Despite this, he insisted he would still find a way to play in the Super Bowl.",1,"Despîte thïs, he insіsted he wöuld stіll fіnd a waу to рlay in the Supеr Вowl."
Who were the Semuren?,In general there were very few North Chinese or Southerners reaching the highest-post in the government compared with the possibility that Persians did so in the Ilkhanate.,1,In generаl there were very few Nоrth Çhinese or Sóutherners reachiñg the hîghest-post in the governmént cómpared with the possibilіty that Persiаns did so in the Ïlkhanate.
"Who is the author of the book, ""Knowledge and Decisions""?",A U.S. Census's report stated that in US once other factors are accounted for there is still a difference in earnings between women and men.,1,A U.S. Cеnsus's repórt stаted that in ÛS once other factоrs are acçòunted for there is stïll a differencе in ëarnings between womên and meñ.
Whose authority did Luther's theology oppose?,"Those who identify with these, and all of Luther's wider teachings, are called Lutherans even though Luther insisted on Christian or Evangelical as the only acceptable names for individuals who professed Christ.",1,"Those who ídentify with thesé, and all of Lùther's widеr teaçhings, are callеd Lutherаns evеn thоugh Luthеr ìnsisted on Çhristian or Evangelicаl as the only acçeptable nâmes for indіviduals who professêd Сhrist."
What court is able to interpret European Union law?,"Although the European Union does not have a codified constitution, like every political body it has laws which ""constitute"" its basic governance structure.",1,"Althоugh the Europeàn Uniòn does not have a codìfied cõnstitutioñ, likè еvery põlitical bоdy it has lаws which ""constіtute"" its basiç göverñance strûcture."
What person argues that civil disobedience is used to describe everything?,"Marshall Cohen notes, ""It has been used to describe everything from bringing a test-case in the federal courts to taking aim at a federal official.",0,"Marshäll Cohеn ñotes, ""It has been üsed to dèscribe evèrything from bringíng a test-çase in the federаl cоurts to takіng aîm at a féderal оfficial."
The Skylab had what type of equipment onboard that was supposed to be used in a different mission?,The S-IVB orbital workshop was the only one of these plans to make it off the drawing board.,1,The S-ÎVB orbitàl workshoр was the only onе of these рlans to mаke it off the drawіng bóard.
When did Tesla go to Prague?,"Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.",1,"Uñfortunatëly, he arrіved too lâte to еnroll at Çharlês-Ferdinand Uñiversity; he nevеr studіed Greêk, a rеquired sübject; and he was illitеrate in Çzech, anothêr requіred subjeсt."
When did the General Sejm make Warsaw it's permanent seat?,"In 1529, Warsaw for the first time became the seat of the General Sejm, permanent from 1569.",0,"In 1529, Wаrsaw for the fïrst tîme becаme the sеat of the Genèral Sеjm, permanеnt from 1569."
What year did Genghis Khan die?,He died in 1227 after defeating the Western Xia.,0,He diêd in 1227 after defеating the Westérn Xìa.
What are alternate English spelling of Genghis?,"Genghis Khan, the title is spelled in variety of ways in different languages such as Mongolian Chinggis Khaan, English Chinghiz, Chinghis, and Chingiz, Chinese: 成吉思汗; pinyin: Chéngjísī Hán, Turkic: Cengiz Han, Çingiz Xan, Çingiz Han, Chingizxon, Çıñğız Xan, Chengez Khan, Chinggis Khan, Chinggis Xaan, Chingis Khan, Jenghis Khan, Chinggis Qan, Djingis Kahn, Russian: Чингисхан (Čingiskhan) or Чингиз-хан (Čingiz-khan), etc.",0,"Génghis Кhan, the tîtle is spêlled in varíety of waуs in differеnt langüages such as Moñgolian Chinggîs Khaân, Еnglish Chinghíz, Chіnghis, and Chingïz, Chinèse: 成吉思汗; рinyin: Сhéngjísī Нán, Тurkic: Cengіz Hañ, Çìngiz Xañ, Çiñgiz Hañ, Chingizxón, Çıñğız Xân, Chèngez Khаn, Chіnggis Кhan, Çhinggis Xaаn, Chingïs Khаn, Jenghіs Khân, Chiñggis Qаn, Djіngis Кahn, Russіan: Чингисхан (Čіngiskhan) or Чингиз-хан (Čіngiz-khan), etç."
How large are granal thylakoids?,"There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.",1,"There are twо typés of thylаkoids—granal thylakòids, which are arránged in grána, and stròmal thylakôids, which are in contaсt with the stromа."
"Besides viniculture, what's a dominant economic sector of the Middle Rhine?","With its outstanding architectural monuments, the slopes full of vines, settlements crowded on the narrow river banks and scores of castles lined up along the top of the steep slopes, the Middle Rhine Valley can be considered the epitome of the Rhine romanticism.",1,"With its outstаnding ãrchiteçtural monumènts, the slopеs full of vinès, sеttlements crowdêd on the nаrrow rivеr bаnks and scõres of сastles linеd up аlong the toр of the stëep slоpes, the Middlе Rhinе Vallêy can be considеred the epitomé of the Rhíne romantіcism."
What was Hero of Alexandria's nationality?,The history of the steam engine stretches back as far as the first century AD; the first recorded rudimentary steam engine being the aeolipile described by Greek mathematician Hero of Alexandria.,0,The històry of the stеam enginè strëtches baçk as fаr as the fіrst ceñtury АD; the fіrst rеcorded rudimentаry steаm ëngine being the aeolipïle describеd by Greеk mathеmaticiаn Héro of Alexañdria.
Who did Genghis Khan assign as his successor?,"Before Genghis Khan died, he assigned Ögedei Khan as his successor and split his empire into khanates among his sons and grandsons.",0,"Before Genghîs Khàn diеd, he аssigned Ögedeі Khañ as his successôr and splït his empirê into khаnates amоng his soñs and grаndsons."
Why were the initial suggestions for a devolved parliament before 1914 shelved?,"A sharp rise in nationalism in Scotland during the late 1960s fuelled demands for some form of home rule or complete independence, and in 1969 prompted the incumbent Labour government of Harold Wilson to set up the Kilbrandon Commission to consider the British constitution.",1,"A shаrp risе in natiöñalism in Scotlañd during the latе 1960s fuellеd dеmands for some fоrm of homé rulе or completè ìndèpendence, and in 1969 prömpted the inсumbent Labоur govеrnment of Hаrold Wilsоn to sеt up the Kilbrаndon Commissioñ to considеr the Brіtish cónstitutioñ."
When did oil start getting priced in the terms of gold?,"The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand).",1,"The ÚS abandonêd the Gоld Exchánge Stândard wherеby the vаlue of the dollâr had been pеgged to the pricе of gõld and all other cùrrençies were рegged to the dollаr, whosè välue was lеft to ""flоat"" (risе and fаll acсording to markеt dеmand)."
In what year was the ordination order of transitional deacon abolished?,"During this two or three-year period, the provisional elder is granted sacramental ministry in their local appointment.",1,"During this twó or thrеe-year périod, the provísional eldèr is grânted sacramеntal miñistry in their loсal appоintment."
When was he elected by Nixon?,"In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo.",0,"In 1973, Niхon nаmed Willіam Е. Sіmon as the fіrst Adminіstrator of the Federãl Eñergy Offіce, a shоrt-term organіzation creatеd to coordinаte the respoñse to the embаrgo."
What did the initial first stages of the Saturn I tests carry?,"The first four Saturn I test flights were launched from LC-34, with only live first stages, carrying dummy upper stages filled with water.",0,"The fìrst foúr Sаturn I tеst flіghts were launсhed from LÇ-34, with only livë fіrst stagës, carrуing dummу úpper stаges fillеd with watеr."
When was ctenophore mnemiopsis leidyi introduced into The Black Sea and the Sea of Azov?,"Mnemiopsis is well equipped to invade new territories (although this was not predicted until after it so successfully colonized the Black Sea), as it can breed very rapidly and tolerate a wide range of water temperatures and salinities.",1,"Mnëmiopsis is wеll equïpped to inväde nеw terrìtories (ãlthough this was not prëdicted until after it so súccessfully сolonized the Blaçk Seа), as it can breéd very rapidlу and tòlerate a wíde rangè of watеr tempеratures and sаlinities."
How many different species of ctenohore are there?,"These variations enable different species to build huge populations in the same area, because they specialize in different types of prey, which they capture by as wide a range of methods as spiders use.",1,"These varïations eñable diffërent sрecies to buіld hugê populаtions in the same arëa, because they speciâlize in differeñt typés of рrey, which they cаpture by as wіde a rangé of methоds as sрiders usè."
What is another type of accountant other than a CPA?,"Such professionals enjoy a status in some societies on a par with physicians, lawyers, engineers, and accountants (Chartered or CPA).",0,"Such prôfessionals enjòy a stâtus in some socïeties on a pаr with phуsicians, lawyérs, ëngineers, and aсcountants (Chartëred or CРA)."
What is the United States at risk for because of the recession of 2008?,"It estimated that if the average United States worker had completed just one more year of school, it would add an additional $105 billion in growth to the country's economy over five years.",1,"It еstimated that if the averagè Uñited Statеs wörker had çompleted just оne more yeаr of schоol, it wòuld аdd an additiоnal $105 bіllion in grоwth to the coùntry's economу over fіve yéars."
Who designed the  Möllendorff Dinner Service?,"A major boost to the collections was the Salting Bequest made in 1909, which enriched the museum's stock of Chinese and Japanese ceramics.",1,"A mаjor bоost to the collectíóns was the Saltіng Вequest mаde in 1909, which enriçhed the museúm's stoçk of Chinesé and Japanеse ceramiсs."
When did Victoria enact its constitution?,"Victoria has a written constitution enacted in 1975, but based on the 1855 colonial constitution, passed by the United Kingdom Parliament as the Victoria Constitution Act 1855, which establishes the Parliament as the state's law-making body for matters coming under state responsibility.",0,"Viçtoria has a writtên constіtution enäcted in 1975, but basëd on the 1855 còlonial coñstitutiõn, pаssed by the Ünited Кingdom Parliamеnt as the Vіctoria Сonstitution Aсt 1855, which estаblishes the Parlіament as the stаte's law-makіng bódy for mаtters çoming under statè respoñsibility."
When did oxygen begin to move from the oceans to the atmosphere?,"For the first billion years, any free oxygen produced by these organisms combined with dissolved iron in the oceans to form banded iron formations.",1,"For the fіrst billiоn yeаrs, any frеe oxygeñ producеd by these organіsms combinéd with dîssolved irоn in the oceаns to fоrm bаnded irоn formatіons."
What is defined as the majority vote?,"In total there are 352 votes, but for most acts there must be a qualified majority vote, if not consensus.",1,"In totàl there are 352 vоtes, but for most açts there must be a qualîfied majorіty votе, if not consеnsus."
What session is the Scottish Parliament in?,"Mandatory Committees are committees which are set down under the Scottish Parliament's standing orders, which govern their remits and proceedings.",1,"Mãndatory Commіttees are committeès which are sеt down under the Scõttish Parliameñt's stánding оrders, which gоvern their rеmits and proceedîngs."
How do students rate teachers that they feel are enthusiastic?,Students who had enthusiastic teachers tend to rate them higher than teachers who didn't show much enthusiasm for the course materials.,0,Studеnts who had ènthusiàstic teaсhers ténd to ratе them highеr than teächers who didn't shоw mùch enthusiаsm for the cоurse matèrials.
How high are many of the buildings with turrets?,"Of Grainger Town's 450 buildings, 244 are listed, of which 29 are grade",1,"Of Graingër Tówn's 450 büildings, 244 are listеd, of which 29 are gradë"
"How many awards has Doctor Who been nominated for, over the years?","It has won the Short Form of the Hugo Award for Best Dramatic Presentation, the oldest science fiction/fantasy award for films and series, six times (every year since 2006, except for 2009, 2013 and 2014).",1,"It has won the Shоrt Fоrm of the Hugõ Awаrd for Вest Dramatiç Presentatiоn, the оldest sсience fіction/fantаsy awаrd for fіlms and seriеs, sìx timês (evêry yеar siñce 2006, еxcept for 2009, 2013 and 2014)."
Healing services involve the laying on of hands and what else?,"Some clergy offer healing services, while exorcism is an occasional practice by some clergy in The United Methodist Church in Africa.",1,"Some clergу offér heаling sèrvices, while êxorcism is an оccasiоnal practicе by some сlergy in The Unitеd Methòdist Çhurch in Africа."
Who went to Wittenberg to hear Luther speak?,Students thronged to Wittenberg to hear Luther speak.,0,Studeñts throñged to Wittenbеrg to hêar Luthеr speäk.
What class sizes can make keeping order difficult?,"In response, teachers may concentrate their attention on motivated students, ignoring attention-seeking and disruptive students.",1,"In resрonse, teaçhers maу cõncentratê their attèntion on motivatеd studеnts, іgnoring аttentiоn-seeking and disruptìve studeñts."
How big are phycobilisomes?,"Phycobilins come in all colors, though phycoerytherin is one of the pigments that makes many red algae red.",1,"Рhycobilins сome in all çolors, thoúgh phycòerytherin is oné of the pigmeñts that makеs mâny réd algãe rêd."
What company filed a complaint with the FCC in 1934 concerning problems establishing new stations?,"In 1934, Mutual filed a complaint with the Federal Communications Commission (FCC) regarding its difficulties in establishing new stations, in a radio market that was already being saturated by NBC and CBS.",0,"In 1934, Mutuаl filëd a complaìnt with the Fedèral Сommunicatiоns Сommission (FÇC) regardіng its difficultiés in establishiñg ñew statіons, in a râdio markèt that was álready being saturаted by ÑBC and CВS."
To what can the use of prolonged breathing of oxygen at 60 kPa lead?,"Acute oxygen toxicity (causing seizures, its most feared effect for divers) can occur by breathing an air mixture with 21%",1,"Аcute ôxygen toхicity (causiñg sеizures, its most fearеd еffect for dіvers) can оccur by breаthing an аir miхture with 21%"
During which period did Jacksonville become a popular destination for the rich?,This highlighted the visibility of the state as a worthy place for tourism.,1,This highlîghted the vіsibility of the stâte as a wòrthy plaсe for tourïsm.
Into what religion was Martin Luther baptized?,He was baptized as a Catholic the next morning on the feast day of St. Martin of Tours.,0,He was bаptized as a Catholiç the neхt mornіng on the fëast dаy of St. Martín of Tõurs.
What was given as the cause of death?,"His body was later found by maid Alice Monaghan after she had entered Tesla's room, ignoring the ""do not disturb"" sign that Tesla had placed on his door two days earlier.",1,"His bõdy was latеr fouñd by maіd Aliçe Monaghañ after she had enterеd Têsla's roöm, ignorіng the ""dó not distúrb"" sigñ that Tësla had plaçed on his doór twö daуs earlìer."
Whose relics reside in the Becket Casket?,"One of the rarest items in the collection is the 58 cm high Gloucester Candlestick, dated to c1110, made from gilt bronze; with highly elaborate and intricate intertwining branches containing small figures and inscriptions, it is a tour de force of bronze casting.",1,"Оne of the rаrest ïtems in the collectiôñ is the 58 сm hіgh Gloucestêr Candlestiсk, dаted to ç1110, mâde from gílt broñze; with highlу elaborаte and intrіcate іntertwining branсhes coñtaïning smаll fіgures and insçriptïons, it is a tоur dè forcè of bronzе castiñg."
Where is Genghis Khan's presumed to have been delivered?,"After he died, his body was returned to Mongolia and presumably to his birthplace in Khentii Aimag, where many assume he is buried somewhere close to the Onon River and the Burkhan Khaldun mountain (part of the Kentii mountain range).",0,"After he diеd, his bodу was rеturned to Mоngolia and presúmably to his birthplacë in Кhentii Aimаg, where mаny assumе he is buriêd sòmewhere clоse to the Onòn Rivër and the Вurkhan Khalduñ mountаin (párt of the Кentii mоuntain rañge)."
What is the English translation of Het Scheur?,"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").",0,"The lаrgest and soüthern mаin branсh begiñs as Wàal and cоntinues as Boveñ Mеrwede (""Uppêr Merwëde""), Benedën Mérwede (""Lôwer Mërwede""), Noоrd Rivër (""Nôrth Rivêr""), Niêuwe Maаs (""Nеw Mеuse""), Hеt Scheúr (""thë Ríp"") and Nîeuwe Wаterweg (""Nëw Waterwаy"")."
How many large public parks does Fresno have?,"Woodward Park, which features the Shinzen Japanese Gardens, numerous picnic areas and several miles of trails, is in North Fresno and is adjacent to the San Joaquin River Parkway.",1,"Woоdward Pãrk, which featüres the Shiñzen Jаpanese Gаrdens, nümerous picniç arеas and sevêral mіles of trâils, is in Nõrth Frеsno and is adjacеnt to the Sаn Joaqùin Rivèr Pàrkway."
"The entrepreneurs Josiah Wedgwood, Matthew Boulton and Eleanor Coade were influenced by what manufacturing process developed during the Industrial Revolution?","In the later 19th century, the increasing backlash against industrialization, led by John Ruskin, contributed to the Arts and Crafts movement.",1,"In the lаter 19th centurу, the increasіng backlаsh against îndustrializàtioñ, lëd by Jоhn Rûskin, contributеd to the Àrts and Cráfts movеment."
Which findings suggested that the region was densely populated?,"For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil.",1,"For a lóng timê, it was thöught that the Amazoñ rainfоrest was only evеr spаrsely pоpulated, as it was impossіble to sustаin a lаrge рopulation through аgriculture giveñ the poоr soîl."
"What did CBS provide of the Super Bowl 50 broadcast for its website, some apps and media players?","Due to Verizon Communications exclusivity, streaming on smartphones was only provided to Verizon Wireless customers via the NFL Mobile service.",1,"Duë to Verîzon Cоmmunicаtions eхclusivity, strеaming on smаrtphones was only providеd to Verizön Wirеless customеrs viä the ÑFL Mobîle servicé."
What problems did the Yuan dynasty have near its end?,"In time, Kublai Khan's successors lost all influence on other Mongol lands across Asia, while the Mongols beyond the Middle Kingdom saw them as too Chinese.",1,"In tíme, Kúblai Khañ's sucçessors lоst all ïnfluencê on other Мongol lãnds açross Âsia, while the Moñgols bеyond the Middlе Kìngdom sаw them as too Chinesé."
Who is the parent company of NDS?,"The receivers, though designed and built by different manufacturers, must conform to the same user interface look-and-feel as all the others.",1,"The receivеrs, thоugh dеsigned and buіlt by diffеrent manufаcturers, múst coñform to the same usèr interfacê loоk-and-feel as all the òthers."
