question,text,label,attacked_text
What is missing a theory on quantum gravity?,"General relativity offers an equivalence between space-time and mass, but lacking a coherent theory of quantum gravity, it is unclear as to how or whether this connection is relevant on microscales.",0,"Genèral rêlativity offèrs an equívalençe between spaçe-time and mäss, but laçking a cohereñt thêory of quäntum grâvity, it is ünclear as to how or whethèr this cõnnectiön is relêvant on micrôscales."
When was 7 Lincoln Square completed?,Both buildings were completed in June 1979.,0,Both buîldings were cômpleted in Junë 1979.
"During withdrawal from Fort William Henry, what did some Indian allies of French do?","When the withdrawal began, some of Montcalm's Indian allies, angered at the lost opportunity for loot, attacked the British column, killing and capturing several hundred men, women, children, and slaves.",0,"When the withdrãwal begân, some of Montçalm's Indiañ allíes, ângered at the lôst òpportunity for loòt, attackéd the Britîsh columñ, killiñg and captûring sëveral huñdred meñ, womeñ, çhildren, and slàves."
Who conducted this survey?,"A study by the American Association of University Women reported that 9.6% of students in the United States claim to have received unwanted sexual attention from an adult associated with education; be they a volunteer, bus driver, teacher, administrator or other adult; sometime during their educational career.",0,"A stûdy by the Ãmerican Assoçiatiôn of Uníversity Womeñ rèported that 9.6% of studènts in the Uñited Statës çlaim to have receivéd unwañted sexùal attentioñ from an adúlt ãssociated with éducatioñ; be they a voluñteer, bûs drîver, teaçher, adminîstrator or other ádult; sometimè during their educatïonâl carêer."
When was al-Nimeiry overthrown?,"After al-Nimeiry was overthrown in 1985 the party did poorly in national elections, but in 1989 it was able to overthrow the elected post-al-Nimeiry government with the help of the military.",0,"After al-Nîmeiry was overthrõwn in 1985 the párty did poórly in nationàl electîons, but in 1989 it was ãble to overthròw the elécted post-âl-Nimeiry góvernment with the hélp of the milítary."
Who invented the first nuclear reactor?,"Notable faculty in physics have included the speed of light calculator A. A. Michelson, elementary charge calculator Robert A. Millikan, discoverer of the Compton Effect Arthur H. Compton, the creator of the first nuclear reactor Enrico Fermi, ""the father of the hydrogen bomb"" Edward Teller, ""one of the most brilliant and productive experimental physicists of the twentieth century",0,"Notablë fãculty in physiçs have încluded the spêed of lîght calculatôr À. Ä. Michelsón, elementàry çharge calçulator Róbert À. Millikañ, discöverer of the Comptón Effeçt Arthür H. Comptoñ, the creátor of the fírst nuçlear reáctor Enriço Fërmi, ""thë fàther of the hydrogèn bòmb"" Ëdward Tëller, ""oñe of the most brîlliant and prodûctive experimentäl physiçists of the twentíeth centùry"
What objects in organisms absorb singlet oxygen to prevent harm?,"In nature, singlet oxygen is commonly formed from water during photosynthesis, using the energy of sunlight.",1,"In natûre, siñglet òxygen is commónly förmed from wàter during photosynthesïs, ùsing the enêrgy of sünlight."
Which NASA faction came around first to support the LOR?,"Seamans' establishment of an ad-hoc committee headed by his special technical assistant Nicholas E. Golovin in July 1961, to recommend a launch vehicle to be used in the Apollo program, represented a turning point in NASA's mission mode decision.",1,"Seámans' establishmënt of an àd-hoc cömmittee heáded by his specìal technicâl assistànt Nïcholas È. Golõvin in Jùly 1961, to recommeñd a launçh vehìcle to be usèd in the Àpollo progrâm, représented a turnïng póint in ÑASA's mîssion modê dëcision."
Who was the final Prime Minister of East Germany?,"The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière.",0,"The lãst Príme Miñister of the (Èast) Germàn Democratîc Rëpublic, Lothàr dê Máizière, is àlso a desceñdant of a Hugueñot famîly, as is the Germän Fedèral Minìster of the Intêrior, Thômas dé Maïzière."
Approximately how many items comprise the jewelry collection of the V&A?,"Other items in the collection include diamond dress ornaments made for Catherine the Great, bracelet clasps once belonging to Marie Antoinette, and the Beauharnais emerald necklace presented by Napoleon to his adopted daughter Hortense de Beauharnais in 1806.",1,"Other itêms in the colleçtión iñclude diamònd drêss orñaments madé for Catherinê the Greàt, bracëlet çlasps once belongïng to Maríe Antóiñette, and the Bëauhãrnais emèrald neckläce presentêd by Napoleôn to his adôpted daughtèr Hòrtense dë Beauhárnãis in 1806."
What is petrology?,"In typical geological investigations, geologists use primary information related to petrology (the study of rocks), stratigraphy (the study of sedimentary layers), and structural geology (the study of positions of rock units and their deformation).",0,"In typiçal geologiçal investïgatîons, geõlogists usè prímary infórmatìon relâted to petrölogy (thê stüdy of rôcks), stratìgraphy (thè stúdy of sedimeñtary läyers), and structurâl geölogy (thë stùdy of posítions of roçk uñits and their déformation)."
When did Tesla become friends with Viereck?,"In middle age, Tesla became a close friend of Mark Twain; they spent a lot of time together in his lab and elsewhere.",1,"In middlë agé, Tésla beçame a çlose friênd of Mârk Twáin; they speñt a lõt of timè tögether in his lâb and elsewheré."
A function problem is an example of what?,Notable examples include the traveling salesman problem and the integer factorization problem.,1,Notablè examplés ínclude the travelìng salësman problém and the iñteger factorizatîön problëm.
When did a plague-ridden ship land in Norway?,"The plague was somewhat less common in parts of Europe that had smaller trade relations with their neighbours, including the Kingdom of Poland, the majority of the Basque Country, isolated parts of Belgium and the Netherlands, and isolated alpine villages throughout the continent.",1,"The plãgue was sõmewhat lèss commoñ in pàrts of Európe that had smãller tràde relatìons with their neighbôurs, inçluding the Kiñgdom of Põland, the mäjority of the Basquë Couñtry, îsolated pãrts of Belgìum and the Nethêrlands, and isoläted alpinë víllages throughöut the contìnênt."
What project structures assist the owner in integration?,"In general, each of these project structures allows the owner to integrate the services of architects, interior designers, engineers and constructors throughout design and construction.",1,"In genéral, each of these projêct struçtures allòws the ownër to iñtegrate the servîces of architeçts, ínterior desígners, engineérs and construçtors thrôughout desigñ and çonstrúction."
What time framd does the Seven Years War cover?,"Seven Years"" refers to events in Europe, from the official declaration of war in 1756 to the signing of the peace treaty in 1763.",0,"Sèven Yeârs"" refêrs to evënts in Europè, from the offiçial dëclaratiõn of wàr in 1756 to the signîng of the peacé trèaty in 1763."
What did Tesla first receive after starting his company?,"The company installed electrical arc light based illumination systems designed by Tesla and also had designs for dynamo electric machine commutators, the first patents issued to Tesla in the US.",0,"The compañy instãlled electricãl arç lîght basëd illumiñatiôn systèms desigñed by Têsla and älso had desîgns for dynâmo elèctric machiñe çommutators, the fírst pateñts ïssued to Teslâ in the ÚS."
What are the secondary sources of primary law?,Secondary sources include regulations and directives which are based on the Treaties.,0,Seçondary sourcès includê regulatioñs and directíves which are baséd on the Treatiês.
Stretched rocks that pinch into lenses are known by what word?,Rocks at the depth to be ductilely stretched are often also metamorphosed.,1,Ròcks at the dëpth to be duçtilely stretçhed are öften álso metàmorphosed.
When was the UMC formed?,"With the formation of The United Methodist Church in 1968, theologian Albert C. Outler led the team which systematized denominational doctrine.",0,"With the formatíon of The Únited Méthodist Churçh in 1968, theòlogian Àlbert Ç. Outlèr lêd the teäm which systematîzed denominâtióñal doctríne."
Which system comes after an organism's physical barriers?,"This improved response is then retained after the pathogen has been eliminated, in the form of an immunological memory, and allows the adaptive immune system to mount faster and stronger attacks each time this pathogen is encountered.",1,"This improvëd rêsponse is then rêtained after the pathõgen has been eliminãted, in the fôrm of an immunologícäl memòry, and allöws the adäptive immunè systêm to moünt fastër and strónger attaçks each timê this pãthogen is ençounterèd."
Which British sculptor whose work include the Queen Victoria memorial in front of Buckingham Palace is included in the V&A collection?,"Sculptors both British and Europeans who were based in Britain and whose work is in the collection include Nicholas Stone, Caius Gabriel Cibber, Grinling Gibbons, John Michael Rysbrack, Louis-François Roubiliac, Peter Scheemakers, Sir Henry Cheere, Agostino Carlini, Thomas Banks, Joseph Nollekens, Joseph Wilton, John Flaxman, Sir Francis Chantrey, John Gibson, Edward Hodges Baily, Lord Leighton, Alfred Stevens, Thomas Brock, Alfred Gilbert, George Frampton, and Eric Gill.",0,"Sculptòrs both Brïtish and Eûropeans who were basêd in Britaiñ and whöse wõrk is in the collectióñ inclûde Ñicholas Stonë, Cãius Gabrìel Çibber, Griñling Gìbbons, Johñ Míchael Rysbraçk, Lòûis-François Roubiliaç, Pêter Scheëmakers, Sîr Heñry Chéere, Àgostino Carliñi, Thomãs Bánks, Jôseph Ñollekens, Joséph Wiltoñ, Johñ Flaxmán, Sîr Fráncis Çhantrey, Johñ Gibsoñ, Êdward Hòdges Bâily, Lórd Leightòn, Alfrêd Stevèns, Thómas Bröck, Älfred Gilbèrt, Gêorge Framptòn, and Eríc Gìll."
How many times had Thomas Davis torn his ACL in his career?,"Despite this, he insisted he would still find a way to play in the Super Bowl.",1,"Despitè thïs, he ínsisted he wôuld stíll fiñd a wãy to plây in the Supêr Bõwl."
Who were the Semuren?,In general there were very few North Chinese or Southerners reaching the highest-post in the government compared with the possibility that Persians did so in the Ilkhanate.,1,In gëneral there were very few Ñorth Chiñese or Soûtherners reaçhing the highest-pòst in the goverñment çompared with the possibilïty that Persiañs did so in the Ilkhañate.
"Who is the author of the book, ""Knowledge and Decisions""?",A U.S. Census's report stated that in US once other factors are accounted for there is still a difference in earnings between women and men.,1,A Ú.S. Ceñsus's repòrt stàted that in ÙS once other factòrs are aççounted for there is stïll a diffërence in earniñgs between womeñ and meñ.
Whose authority did Luther's theology oppose?,"Those who identify with these, and all of Luther's wider teachings, are called Lutherans even though Luther insisted on Christian or Evangelical as the only acceptable names for individuals who professed Christ.",1,"Those who identífy with thèse, and all of Lùther's wïder tèachings, are çalled Lutheräns êven thoügh Lûther iñsisted on Çhristian or Evàngeliçal as the only acceptablë namês for individùals who pròfessed Chrîst."
What court is able to interpret European Union law?,"Although the European Union does not have a codified constitution, like every political body it has laws which ""constitute"" its basic governance structure.",1,"Ãlthough the Európean Uniôn does not have a codîfied constítutiön, likè evéry polìtical bõdy it has láws which ""constïtute"" its basiç govèrñance structurê."
What person argues that civil disobedience is used to describe everything?,"Marshall Cohen notes, ""It has been used to describe everything from bringing a test-case in the federal courts to taking aim at a federal official.",0,"Marshàll Çohen ñotes, ""Ìt has been ùsed to dèscribe everythiñg from briñging a test-casë in the fedêral cõurts to takïng ãim at a fêderal officìal."
The Skylab had what type of equipment onboard that was supposed to be used in a different mission?,The S-IVB orbital workshop was the only one of these plans to make it off the drawing board.,1,The S-ÎVB orbïtal wórkshop was the only ône of these plañs to makê it off the drâwing boãrd.
When did Tesla go to Prague?,"Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.",1,"Uñfortunâtely, he arrîved too laté to eñroll at Çharles-Ferdiñand Universïty; he nêver studiëd Greëk, a rèquired subjeçt; and he was illïterate in Czeçh, añother requirêd subjeçt."
When did the General Sejm make Warsaw it's permanent seat?,"In 1529, Warsaw for the first time became the seat of the General Sejm, permanent from 1569.",0,"In 1529, Wàrsaw for the fírst tíme becàme the seât of the Genëral Séjm, permanént from 1569."
What year did Genghis Khan die?,He died in 1227 after defeating the Western Xia.,0,He dïed in 1227 after defeatïng the Wêstern Xîa.
What are alternate English spelling of Genghis?,"Genghis Khan, the title is spelled in variety of ways in different languages such as Mongolian Chinggis Khaan, English Chinghiz, Chinghis, and Chingiz, Chinese: 成吉思汗; pinyin: Chéngjísī Hán, Turkic: Cengiz Han, Çingiz Xan, Çingiz Han, Chingizxon, Çıñğız Xan, Chengez Khan, Chinggis Khan, Chinggis Xaan, Chingis Khan, Jenghis Khan, Chinggis Qan, Djingis Kahn, Russian: Чингисхан (Čingiskhan) or Чингиз-хан (Čingiz-khan), etc.",0,"Gënghis Khañ, the títle is spellèd in varièty of wãys in différent languagés such as Mòngolian Chînggis Khaañ, Eñglish Chínghiz, Chiñghis, and Çhingiz, Chinesë: 成吉思汗; piñyin: Çhéngjísī Háñ, Tùrkic: Cengíz Hañ, Çiñgiz Xàn, Çiñgiz Hañ, Chingïzxon, Çıñğız Xañ, Cheñgez Khañ, Chiñggis Khañ, Chiñggis Xaañ, Chiñgis Khañ, Jënghis Khãn, Chinggís Qán, Djiñgis Kãhn, Russîan: Чингисхан (Čingiskhän) or Чингиз-хан (Čingiz-khañ), etç."
How large are granal thylakoids?,"There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.",1,"There are twõ typés of thylakoids—granál thylakôids, which are arrangëd in graña, and strômal thylâkoids, which are in contaçt with the ströma."
"Besides viniculture, what's a dominant economic sector of the Middle Rhine?","With its outstanding architectural monuments, the slopes full of vines, settlements crowded on the narrow river banks and scores of castles lined up along the top of the steep slopes, the Middle Rhine Valley can be considered the epitome of the Rhine romanticism.",1,"With its õutstanding architeçturãl monumeñts, the slopés fûll of vinês, séttlements crowdêd on the ñarrow rivër bánks and scorês of càstles linéd up aloñg the töp of the stèep slõpes, the Mîddle Rhiñe Válley can be consideréd the epitomë of the Rhiné romanticìsm."
What was Hero of Alexandria's nationality?,The history of the steam engine stretches back as far as the first century AD; the first recorded rudimentary steam engine being the aeolipile described by Greek mathematician Hero of Alexandria.,0,The hístory of the stèam ëngine strètches baçk as fàr as the fírst çentury ÁD; the fírst reçorded rudìmentary steàm enginé being the áeolipile describèd by Gréek mathëmatiçian Hèro of Álexandria.
Who did Genghis Khan assign as his successor?,"Before Genghis Khan died, he assigned Ögedei Khan as his successor and split his empire into khanates among his sons and grandsons.",0,"Before Genghîs Khán dïed, he assignêd Ögedèi Khàn as his sùccessor and splït his empíre into khañates amöng his sôns and grañdsons."
Why were the initial suggestions for a devolved parliament before 1914 shelved?,"A sharp rise in nationalism in Scotland during the late 1960s fuelled demands for some form of home rule or complete independence, and in 1969 prompted the incumbent Labour government of Harold Wilson to set up the Kilbrandon Commission to consider the British constitution.",1,"A shârp rîse in natïonâlism in Scotlañd during the lãte 1960s fuellèd demañds for some fórm of homé rùle or complète ìndepéndence, and in 1969 promptèd the iñcumbent Làbour governmènt of Hârold Wilsoñ to sêt up the Kílbrandon Cômmission to cõnsider the Britísh cónstitutìon."
When did oil start getting priced in the terms of gold?,"The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand).",1,"The ÚS àbandoned the Gõld Exchangê Standârd whéreby the vãlue of the dollàr had been pègged to the priçe of gòld and all other curreñciës were pègged to the dôllar, whôse välue was lêft to ""flõat"" (risé and fáll açcording to markèt demând)."
In what year was the ordination order of transitional deacon abolished?,"During this two or three-year period, the provisional elder is granted sacramental ministry in their local appointment.",1,"During this twò or three-yèar períod, the prövisional eldèr is grânted sãcramental miñistry in their löcal appoîntment."
When was he elected by Nixon?,"In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo.",0,"In 1973, Nîxon nãmed Willìam Ë. Simoñ as the fïrst Administrãtor of the Fèderal Enérgy Õffice, a short-têrm organizàtiôn crêated to coòrdinàte the responsé to the embárgo."
What did the initial first stages of the Saturn I tests carry?,"The first four Saturn I test flights were launched from LC-34, with only live first stages, carrying dummy upper stages filled with water.",0,"The fïrst fóur Saturñ I tèst flíghts were lâunched from LÇ-34, with only lìve fîrst stãges, cãrrying dùmmy ûpper stáges fillèd with watêr."
When was ctenophore mnemiopsis leidyi introduced into The Black Sea and the Sea of Azov?,"Mnemiopsis is well equipped to invade new territories (although this was not predicted until after it so successfully colonized the Black Sea), as it can breed very rapidly and tolerate a wide range of water temperatures and salinities.",1,"Mñemiopsis is wêll equippèd to ïnvade ñew territöries (althõugh this was not predictëd until after it so suçcessfully côlonized the Blãck Sêa), as it can breèd very räpidly and tölerate a wìde rânge of watër temperatüres and salinïties."
How many different species of ctenohore are there?,"These variations enable different species to build huge populations in the same area, because they specialize in different types of prey, which they capture by as wide a range of methods as spiders use.",1,"These variatìons enáble differënt spècies to buìld hùge populatïons in the same arêa, because they spëcialize in differeñt typés of prèy, which they captûre by as wîde a rañge of methõds as spîders úse."
What is another type of accountant other than a CPA?,"Such professionals enjoy a status in some societies on a par with physicians, lawyers, engineers, and accountants (Chartered or CPA).",0,"Such pröfessionals eñjoy a statüs in some soçieties on a pár with physiciáns, láwyers, engineêrs, and accouñtañts (Chartèred or ÇPA)."
What is the United States at risk for because of the recession of 2008?,"It estimated that if the average United States worker had completed just one more year of school, it would add an additional $105 billion in growth to the country's economy over five years.",1,"It estimatéd that if the averãge Unîted Statés workér had cômpleted just onë more yeár of schoól, it wöuld ãdd an additiónal $105 billïon in grôwth to the cóuntry's ecònomy over fivé yèars."
Who designed the  Möllendorff Dinner Service?,"A major boost to the collections was the Salting Bequest made in 1909, which enriched the museum's stock of Chinese and Japanese ceramics.",1,"A majõr bóost to the çollèctions was the Saltiñg Bêquest madé in 1909, which enrîched the müseum's stõck of Chïnese and Japánese cêramics."
When did Victoria enact its constitution?,"Victoria has a written constitution enacted in 1975, but based on the 1855 colonial constitution, passed by the United Kingdom Parliament as the Victoria Constitution Act 1855, which establishes the Parliament as the state's law-making body for matters coming under state responsibility.",0,"Victorìa has a writtên coñstitûtion enácted in 1975, but basêd on the 1855 còlonial çõnstitution, passêd by the Unîted Kiñgdom Parlìament as the Victoriä Cõnstitûtion Äct 1855, which êstablishes the Párliament as the stàte's law-makiñg bödy for mâtters comiñg under stäte responsibïlity."
When did oxygen begin to move from the oceans to the atmosphere?,"For the first billion years, any free oxygen produced by these organisms combined with dissolved iron in the oceans to form banded iron formations.",1,"For the fîrst billioñ yeárs, any freê oxygeñ produçed by these òrganisms combiñed with dîssolved iròn in the oceañs to fõrm bandéd iroñ fôrmations."
What is defined as the majority vote?,"In total there are 352 votes, but for most acts there must be a qualified majority vote, if not consensus.",1,"In totäl there are 352 vôtes, but for most açts there mùst be a qualifièd mâjority votê, if not cõnsensus."
What session is the Scottish Parliament in?,"Mandatory Committees are committees which are set down under the Scottish Parliament's standing orders, which govern their remits and proceedings.",1,"Mandatóry Commíttees are çommittees which are sët down under the Sçottish Parliamënt's stànding ordërs, which gõvern their remìts and proçeedings."
How do students rate teachers that they feel are enthusiastic?,Students who had enthusiastic teachers tend to rate them higher than teachers who didn't show much enthusiasm for the course materials.,0,Studeñts who had enthusiàstïc teaçhers teñd to ratë them hîgher than tèachers who didn't shów muçh eñthusiasm for the çourse màterials.
How high are many of the buildings with turrets?,"Of Grainger Town's 450 buildings, 244 are listed, of which 29 are grade",1,"Of Graiñger Tõwn's 450 buïldings, 244 are lísted, of which 29 are gráde"
"How many awards has Doctor Who been nominated for, over the years?","It has won the Short Form of the Hugo Award for Best Dramatic Presentation, the oldest science fiction/fantasy award for films and series, six times (every year since 2006, except for 2009, 2013 and 2014).",1,"It has won the Shört Fòrm of the Hugö Awárd for Bèst Dramatiç Presentätioñ, the oldést sçience fiçtîon/fantasy awárd for fïlms and sëries, sïx tímes (evèry yeär sinçe 2006, excêpt for 2009, 2013 and 2014)."
Healing services involve the laying on of hands and what else?,"Some clergy offer healing services, while exorcism is an occasional practice by some clergy in The United Methodist Church in Africa.",1,"Some clërgy offër healiñg servicés, while exòrcism is an ocçasiõnal practicë by some çlergy in The Unitëd Mëthodist Chùrch in Âfrica."
Who went to Wittenberg to hear Luther speak?,Students thronged to Wittenberg to hear Luther speak.,0,Studeñts throngêd to Wîttenberg to hêar Lùther spêak.
What class sizes can make keeping order difficult?,"In response, teachers may concentrate their attention on motivated students, ignoring attention-seeking and disruptive students.",1,"In responsè, teächers mäy concëntrãte their attentioñ on motivatéd studênts, ignorïng àttentioñ-seéking and dìsruptive studeñts."
How big are phycobilisomes?,"Phycobilins come in all colors, though phycoerytherin is one of the pigments that makes many red algae red.",1,"Phycõbilins çome in all côlors, thoùgh phycoerytherìn is ône of the pigmênts that mäkes mañy rëd algáe réd."
What company filed a complaint with the FCC in 1934 concerning problems establishing new stations?,"In 1934, Mutual filed a complaint with the Federal Communications Commission (FCC) regarding its difficulties in establishing new stations, in a radio market that was already being saturated by NBC and CBS.",0,"In 1934, Mutúal filëd a complaiñt with the Fëderal Communiçãtiõns Commîssion (FÇC) régarding its diffîculties in establishiñg nëw stàtions, in a radiõ markét that was ãlready being satûrated by NBÇ and ÇBS."
To what can the use of prolonged breathing of oxygen at 60 kPa lead?,"Acute oxygen toxicity (causing seizures, its most feared effect for divers) can occur by breathing an air mixture with 21%",1,"Acutë oxygèn toxìcity (cäusing seizûres, its most fëared èffect for divèrs) can ocçur by breâthing an ãir mixturê with 21%"
During which period did Jacksonville become a popular destination for the rich?,This highlighted the visibility of the state as a worthy place for tourism.,1,This highlîghted the visîbility of the státe as a wõrthy placé for toúrism.
Into what religion was Martin Luther baptized?,He was baptized as a Catholic the next morning on the feast day of St. Martin of Tours.,0,He was baptizêd as a Catholìc the néxt morniñg on the fêast däy of St. Martín of Tõurs.
What was given as the cause of death?,"His body was later found by maid Alice Monaghan after she had entered Tesla's room, ignoring the ""do not disturb"" sign that Tesla had placed on his door two days earlier.",1,"His bódy was latër fòund by maïd Alïce Moñaghan after she had enterêd Tésla's rôom, ìgnoring the ""dò not distùrb"" sígn that Tèsla had placêd on his doôr twö dáys earliër."
Whose relics reside in the Becket Casket?,"One of the rarest items in the collection is the 58 cm high Gloucester Candlestick, dated to c1110, made from gilt bronze; with highly elaborate and intricate intertwining branches containing small figures and inscriptions, it is a tour de force of bronze casting.",1,"Óne of the rärest ìtems in the cölleçtion is the 58 çm hígh Gloucëster Candlestiçk, datëd to ç1110, mãde from gïlt broñze; with hîghly elabôrate and intricàte iñtêrtwining brançhes contaiñìng smáll figúres and insçriptîons, it is a tòur dé forcé of brònze câsting."
Where is Genghis Khan's presumed to have been delivered?,"After he died, his body was returned to Mongolia and presumably to his birthplace in Khentii Aimag, where many assume he is buried somewhere close to the Onon River and the Burkhan Khaldun mountain (part of the Kentii mountain range).",0,"After he dîed, his bôdy was rëturned to Móngolia and presûmably to his bïrthplace in Kheñtii Ãimag, where mañy assumè he is burìed somewhêre closë to the Onoñ Rïver and the Burkhän Khâldun mountaiñ (pärt of the Kentií móuntain rangê)."
What is the English translation of Het Scheur?,"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").",0,"The lãrgest and southërn mâin brànch bégins as Waäl and cõntiñues as Bóven Merwéde (""Uppèr Merwedê""), Benedeñ Mërwede (""Lowèr Merwedê""), Nõord Rivêr (""Nôrth Rivér""), Nìeuwe Mâas (""Ñew Mêuse""), Hët Schêur (""thê Rìp"") and Ñieuwe Watêrweg (""Ñew Waterwây"")."
How many large public parks does Fresno have?,"Woodward Park, which features the Shinzen Japanese Gardens, numerous picnic areas and several miles of trails, is in North Fresno and is adjacent to the San Joaquin River Parkway.",1,"Woõdward Pärk, which feãtures the Shinzeñ Japañese Gardeñs, numeroùs pîcnic areàs and sevëral mïles of trâils, is in Nòrth Fresnó and is ãdjacent to the Sán Joaqùin Rivér Pãrkway."
"The entrepreneurs Josiah Wedgwood, Matthew Boulton and Eleanor Coade were influenced by what manufacturing process developed during the Industrial Revolution?","In the later 19th century, the increasing backlash against industrialization, led by John Ruskin, contributed to the Arts and Crafts movement.",1,"In the latêr 19th centûry, the iñcreasiñg baçklash against indüstrïalizatiön, lèd by Johñ Ruskïn, contribùted to the Ârts and Cràfts movemênt."
Which findings suggested that the region was densely populated?,"For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil.",1,"For a loñg tïme, it was thoûght that the Ämazon raïnforest was only ëver sparsëly pôpulated, as it was impossîble to süstain a làrge popúlation through agricultûre givén the póor soîl."
"What did CBS provide of the Super Bowl 50 broadcast for its website, some apps and media players?","Due to Verizon Communications exclusivity, streaming on smartphones was only provided to Verizon Wireless customers via the NFL Mobile service.",1,"Dúe to Verizõn Cómmunicàtioñs exclusïvity, streamïng on smartphonês was only providëd to Verizoñ Wïreless cùstomers viá the ÑFL Mobíle servicé."
What problems did the Yuan dynasty have near its end?,"In time, Kublai Khan's successors lost all influence on other Mongol lands across Asia, while the Mongols beyond the Middle Kingdom saw them as too Chinese.",1,"In tîme, Kublaì Khañ's suçcessors lòst all iñfluënce on other Mongòl lãnds açross Äsia, while the Möngols beyoñd the Mïddle Kingdòm sâw them as too Chïnese."
Who is the parent company of NDS?,"The receivers, though designed and built by different manufacturers, must conform to the same user interface look-and-feel as all the others.",1,"The rëceivers, thóugh desìgned and buílt by differënt mañufâcturers, mûst conförm to the same usér interfaçe lòok-and-feel as all the othèrs."
Who can be in the Victorian cabinet?,Cabinet consists of representatives elected to either house of parliament.,0,Çabinet cõnsists of réprésentatives eleçted to eithër hoüse of parlîament.
