id,pair_id,variant,text,source,attack_type,generator_model
p006__orig,p006,original,"['There are a few reasons why a movie that seems destined to be awful might still get made. \nOne reason is that studios sometimes believe that a movie will be successful based on the success of a previous movie in the series. For example, if the first ""Dumb and Dumber"" movie was a big hit, the studio might think that the sequel, ""Dumb and Dumber To,"" will also be a hit, even if it turns out not to be very good. \nAnother reason is that studios often invest a lot of money in making a movie, and they want to try to recoup their investment by releasing the movie in theaters. Even if a movie is not very good, the studio might still try to make some money back by releasing it in theaters. \nFinally, it\'s important to remember that making a movie is a risky business, and not every movie will be a hit. Studios take risks on movies that they think have the potential to be successful, but sometimes those risks don\'t pay off.']",ai,char,all-mpnet-base-v2
p006__hum,p006,humanized,"['Therê äre â few reasоns why a móvie 📧 ️ thát seems destined ‍‍️ tó be àwful might 🇹🇷 stïll get made. 🅰️ \nOne réasoñ ís thát 🇸🇹 stùdios sometіmès believe 🇸🇻 thät a mоvie wіll be sucсеssful bаsеd 🇻🇮 on thе suсcеss öf а рreviöus moviè íñ thè 👕 seriеs. For examplê, іf thе fіrst 🇧🇱 ""Dumb аñd Dumbеr"" ️ mòvіe 🇸🇹 was ã bíg hit, ‍ thе studìo 🇻🇨 mïght thіnk 👕 that the seqùel, ""Dûmb añd Dumber Tо,"" wîll аlso be ‍ а hіt, evèñ ìf it türns oüt nоt tо be vèry goöd. \nAnother reаsоn ‍‍‍ is that studios 👒 ofteñ invest a lot ‍ оf ‍️ mоneу in ‍️ makîñg a mоvie, and they want ‍‍ tо trу tò récoup their ìñvestment bу releasing thë movіe in thèàters. Ëven íf a 🛺 moviе is ✊🏾 nоt vêry góôd, the studio míght still try to máke somе monеy baçk by releasing it ‍️ іn theatеrs. 🤘🏽 \nFinally, іt\'s 🦖 importánt tô rémember that makіng а movïе îs 👞 а ‍‍ riskу business, аnd 🇨🇮 nоt every 📧 🇷🇪 ‍‍ movie wîll bè 🅱️ ã hît. Stùdios 🕖 tаkе 🇹🇷 rïsks оn movies that ️ thеy 👕 thínk hаvе thé põtentíal to 👬🏼 bë suçсеssful, but ️ sometimes those rísks doñ\'t pàу off.'] 👩‍💼 🤙🏻",ai,char,all-mpnet-base-v2
p007__orig,p007,original,"[""To view the asset/holdings breakdown within a fund, you can typically find this information in the fund's prospectus or annual report. These documents should provide details on the types of assets that the fund holds, as well as the percentage of the fund's holdings that each asset represents.You can also find this information on the fund's website or through a financial advisor or broker. Some fund companies also provide tools or resources for investors to view the asset/holdings breakdown online.It's important to note that the asset/holdings breakdown of a fund can change over time, as the fund managers may make changes to the portfolio in response to market conditions or other factors. It's a good idea to review the asset/holdings breakdown regularly to ensure that the fund's investments align with your investment goals and risk tolerance.""]",ai,char,all-mpnet-base-v2
p007__hum,p007,humanized,"[""To view thе asset/höldíngs ‍ breákdown withîn ‍‍ â fund, 🇻🇮 уou çan typically fìñd thîs ‍ 👉 information iñ thë fund's 👚 prospectus ôr 💠 annual report. Тhesе documents 🅾 should 🎃 рrovіde detаils 🇺🇲 оñ thé 🇹🇷 typеs оf assets thаt the fund hоlds, ãs well as the 📧 🅿 percentage 🦖 оf thê fund's holdіngs thаt each assèt represents.You cañ аlsо fînd 🇨🇮 🇨🇮 this ‍‍️ informаtіon on the fund's website or 🕖 through а finançíàl аdvisor or brokеr. Sоme fund companies ãlso рrovide tools оr resources fоr іnvеstõrs to 🙆🏻‍♂️ ™ ‍‍️ viеw thé asset/holdings breakdown online.It's imрortant tó ñotè that thê âsset/hоldìngs ‍‍ breakdоwn òf â fund can çhange over tіme, 🤙🏿 ás thе fûnd mаnagers ‍ mау Ⓜ️ Ⓜ️ máke chаnges tо thе portfolío in respoñse to markеt cоndіtіons 🚹 оr õther faсtors. It's a goód іdeа tо 🦖 review ♥ 🇷🇪 the аsset/holdings breakdown ⬇️ ️ regularly to ensure thаt thе fund's investmеnts alîgñ with yòûr іnvestment goãls 👞 and rîsk ⛑️ tоlеrаnce.""]",ai,char,all-mpnet-base-v2
p008__orig,p008,original,"['When light travels from one medium to another, its speed can change because the properties of the two media, such as their density and refractive index, can be different. When the speed of light changes, the direction of the light ray can also change. This is because the light ray will bend, or refract, as it passes through the boundary between the two media. Imagine that you are walking through a field and come to a fence. When you reach the fence, you might have to change direction to follow it. Similarly, when light encounters a boundary between two media, it might have to change direction to follow the boundary. The amount that the light ray bends depends on the angle at which it hits the boundary and the difference in the refractive indices of the two media. When the refractive index is higher in the second medium, the light ray will bend towards the normal (a line perpendicular to the boundary). When the refractive index is lower in the second medium, the light ray will bend away from the normal. I hope this helps to explain why the direction of the light ray can change when it travels from one medium to another. Let me know if you have any more questions!']",ai,char,all-mpnet-base-v2
p008__hum,p008,humanized,"📧 ['When light trаvels from one mеdіum Ⓜ to anothêr, its speed 🇨🇮 cаn ‍ change 📧 🇨🇮 bêcaûse thе рrоpertіеs 🤗 оf the two mêdia, suçh 👒 âs thëîr ❤ 🇹🇷 dëñsity añd refraсtіvе index, cаn be 💯 🧔🏽‍♀ different. Whеn thе speëd öf líght 👕 changes, thë direction 🇸🇹 of thе light 👩🏾‍🫯‍👩🏻 ‍️‍ räу can álsõ chànge. Тhis 👞 ís béçause thе lìght ‍️ rày 🇷🇪 will 🇨🇮 bеnd, ️ ór refract, аs 🇹🇷 іt passes 🇸🇹 🇻🇮 through 🕗 thê boundarу betweеn thе twò média. ‍‍ Ìmaginê 👩🏿‍🦼 thаt уoú arë wâlking thròûgh ‍ a 💯 🧒🏾 fíеld аnd 🇨🇮 çome ‍‍ to a 🇨🇮 fеnce. Whеn уoü reach the 🇧🇶 ️ fence, 🇨🇮 you mіght hávе tо 👕 çhañge 🅰 dìreсtіön tõ fòllоw ít. 🇸🇹 Similàrlу, whén light enсounters a boundary betweеn twò media, іt might hаve tó change dirесtion tо fоllöw thê boúndary. Thé amouñt thät thе lïght ray 🩻 beñds depends оn thе angle at ‍ which 🇨🇮 ít 🦖 hіts thë bоundary ând © ‍ thë dіfferenсe іn thê refraсtivе іndices ❤ ‍‍ öf thе 🇹🇷 two media. Whеn thе refraсtіve 🅰 ìñdex ‍ is hïghеr іn thé seçond 🇸🇹 medium, thé lіght raу will 🇨🇮 bend towards thë 🇹🇷 nоrmal (a ‍ linê perpendicular to ‍️ thе boundary). Wheñ the 🤘🏽 refractive iñdex is ‍‍‍ lower in ‍ thе second 👩🏾‍🐰‍👩🏿 medium, the light 🤚🏻 raу wíll bend 🇨🇮 ️ away fröm thé nòrmаl. Î höpe thìs helps 🇸🇹 tо 🦖 exрlаin 🙂 ‍ whу thе direction õf ▶ thé lìght rãу çаn change whеn ït 👕 ‍️‍ travеls 🇺🇲 frôm onè 🎶 mеdіùm to another. Let 🧑🏿‍🩰 ‍ me knöw if уou 🇺🇲 have any 🤪 more 🇷🇪 quéstіoñs!']",ai,char,all-mpnet-base-v2
p009__orig,p009,original,"[""Nails are small, hard, curved plates made of a protein called keratin that are found on the top of the fingers and toes of most mammals, including humans. They are made by cells in the skin called nail matrix cells, which produce keratin to form the nail.\n\nNails serve several important purposes. They help protect the fingertips, which are sensitive and vulnerable to injury. They also provide grip and assist with tasks such as picking up small objects or typing on a keyboard.\n\nIn animals, nails can also serve as weapons for defense or hunting. For example, a cat's claws can help it catch and kill prey, and a dog's nails can help it dig or defend itself.\n\nAs for why humans don't have an external shell on their heads, it's because our heads are already protected by a hard structure called the skull. The skull is made up of several bones that fit together to form a protective casing around the brain and other important organs in the head. The skull also has openings, such as the nose and mouth, that allow us to breathe, see, hear, and communicate.""]",ai,char,all-mpnet-base-v2
p009__hum,p009,humanized,"[""Nails ãrè smаll, härd, curved plates madе оf ‍️‍‍ ä ‍ protein called 💠 keratin thаt 🇷🇪 аrе found on thë toр of the fіngers ⛑ and tôes óf most mаmmаls, including humаns. Theу arë ️ madé bу çеlls іn thе skіñ called 🇨🇮 nаil matrix cеlls, whíçh produce keratin tô 👕 form thè nail.\n\nNails serve several importânt 🕚 pùrposes. They hèlр prоtect the fingertips, 🚹 which 🇨🇮 are sеnsitive 🇻🇮 and 🤾🏼‍♀️ vulnerable 💠 to injury. They also provide grip аnd аssist with ‍️ tâsks such ás piсking üp smаll objects õr typiñg on ‍‍ a kèyboârd.\n\ñIñ аnimals, nails can älsо serve as wеapons for defensè 🇻🇮 õr huntiñg. Fõr eхamрle, а çat's çlaws cаñ hèlp ìt cаtсh and kill prey, añd á dоg's nàïls 🇺🇲 can hеlp ìt dïg 🇨🇮 🇨🇮 or ️ defend ⚜ itself.\n\nAs for whу humans ‍️ doñ't have an external shéll 👡 оn theіr hеads, іt's because our heads 🇨🇮 аrë already ️ protected by ⛑️ a hаrd 🇨🇮 structure called thе skúll. Тhë skúll іs mаde úp ôf sevеral bоnеs thât fît together tо 🦖 fоrm 🇷🇪 а prôteçtive ️ casing around thе 🇳🇱 braiñ añd other important ️ organs ín thè head. Тhе skull âlsо has 🅰 🇻🇮 openings, ‍‍️ such ás thê ñosë and mоuth, 🇺🇲 thаt allоw us tô breathe, sêe, 🚹 🇸🇹 hеar, 🖖🏼 and commúñісaté.""]",ai,char,all-mpnet-base-v2
p010__orig,p010,original,"['If you have a car loan with an interest rate of 24.90%, it is likely that you are paying a very high monthly payment and that a significant portion of your payment is going toward interest charges rather than paying down the principal balance of your loan. This can make it difficult to pay off your loan in a timely manner and can also be a financial burden.There are a few options you can consider if you are struggling to make payments on a car loan with a high interest rate:Refinance your car loan: If you have good credit, you may be able to qualify for a lower interest rate by refinancing your car loan. This can lower your monthly payments and make it easier to pay off your loan.Negotiate with your lender: You may be able to negotiate a lower interest rate with your lender, especially if you have a good payment history. If you are able to lower your interest rate, it can make your monthly payments more manageable.Consider a shorter loan term: If you can afford higher monthly payments, you may be able to pay off your loan faster by choosing a shorter loan term. This will mean you pay less in interest over the life of the loan.Explore alternative financing options: If you are having trouble making payments on your car loan, you may want to consider alternative financing options such as a personal loan or a home equity loan. These types of loans may have lower interest rates than a car loan, which can make it easier to pay off your debt.It is important to carefully consider your options and choose the one that is most feasible for your financial situation. It may also be helpful to speak with a financial advisor or a credit counselor to get additional guidance and support.']",ai,char,all-mpnet-base-v2
p010__hum,p010,humanized,"['Îf you hаvé a câr loàn 🕚 wïth аñ ️ interest ‍ rate of 24.90%, ït 👕 іs ⛑ lіkеly that yöü аre paying a vërу hіgh mоñthly payment ‍‍ ànd thát a ‍‍ signifіcаnt portión öf your payment іs goìng ‍ towаrd iñtеrest сhargеs râthеr ️ thаn payíñg down 🇻🇮 👇🏼 thе 👕 priñçìpal ‍ balance of 👮🏼‍♂ yòur loan. Thіs can make it 🧑🏻‍🐰‍🧑🏽 difficûlt tо pây оff уour lôan іñ a timely mаñner аnd can аlsò bë â 😘 financial burdeñ.Therе are а few options ️ yоu cañ сonsîder if 🏋🏿‍♂️ ️ yоu arе strüggliñg to mаke рayments on а çar 🅰 loаn wìth 👕 а high interest ratе:Rеfinаnсe ‍ yоur саr loán: If ‍ уou have good crеdit, yöú may be able to qualify fоr á lоwеr intеrest râtè bу 🅱️ rêfinançîng yоùr car lоãñ. Thîs càn lówer yoûr mоnthly pаymeñts and mâkê it easіer to pày õff ‍️ уour loan.Nеgotіatе wіth ‍‍ your lender: Yoú may bе аble tö negotiate а lower interest râtê wìth your lender, ️ éspeçíally ìf yõu 🇻🇮 have a göоd päyment 👨🏿‍🫯‍👨🏾 ‍‍ history. Ìf you ️ arе аble 📧 to 🤼🏾‍♀️ lówèr yôur intеrеst rаte, ït can 👨🏽‍🦯‍➡ ‍‍ maké уoùr monthlу payments ‍‍ more mâñagêable.Cõnsider а shоrter lоãn têrm: If уõu сan àfford higher monthly paуments, ‍‍ уou mаy bë áble tò pay óff yôur lоan faster by çhоôsiñg а shorter loan tërm. This 🇻🇮 will meаn you pay ️ less 👡 іn іntèrest оvër the lіfe of thе loan.Explore álternаtivе financing оptions: 🇺🇲 Îf уоu аre 📧 having troüble mаkiñg ️ pàymeñts оñ your car lоan, yоu may want tõ consider alterñatíve fіñàñcіng óptioñs such as 🔡 a personãl loаn оr а hôme equity 🇺🇲 loan. 💠 Thesе typеs óf lôаñs mãy have lower іñterest 📧 rãtеs than а саr loаn, which 🇨🇮 can mãkë it 👨🏿‍🐰‍👨🏻 easiër 🇺🇲 tô paу öff yoúr dеbt.It is important 🇹🇷 tо carefullу consider уoûr options аnd çhoose 🇸🇹 thе 🇹🇷 õné that is 🕗 most fеasible 🅰️ fôr yôur finañçiàl situatiоn. It maу аlso bê 🅱️ hеlрful tо speák wìth a ️ finanсіal 🧑🏻‍🦽 advisor òr 🇷🇪 a 👩🏾‍❤️‍💋‍👩🏿 crеdіt counselor tо get ‍ áddïtiónal guidãñçe аñd supрort.']",ai,char,all-mpnet-base-v2
